modbusRTU;Inverter;VECTRON;RPS450TL;;;;;;;
1;3;211;I16;;R.m.s. Current;;1;0;A;4
2;3;212;I16;;Output Voltage;;1;0;V;4
3;3;213;I16;;Active Power;cmdPwrPercent;1;0;kW;4
4;3;222;I16;;DC-Link Voltage;;1;0;V;4
5;3;223;I16;;Modulation;;1;0;%;4
6;3;229;I16;;Reference Percentage Value;;1;0;%;4
7;3;231;I16;;Peak Value Long Term Ixt;;0.001;0;%;4
8;3;232;I16;;Peak Value Short Term Ixt;;0.001;0;%;4
9;3;243;I16;;Digital Inputs hardware;;0.001;0;;4
10;3;244;I32;;Working Hours Counter/Operation Hours Counter;;0.001;0;h;4
11;3;249;I16;;Active Data Set;;1;0;;4
12;3;250;I16;;Digital Inputs;;1;0;;4
13;3;251;I16;;Analog Input MFI1A;;1;0;%;4
14;3;253;I16;;Analog Input EM-S1INA;;1;0;%;4
15;3;254;I16;;Digital Outputs;;1;0;;4
16;3;255;I16;;Heat Sink Temperature;;1;0;°C;4
17;3;256;I16;;Inside Temperature;;0.1;0;°C;4
18;3;257;I16;;Analog Output MFO1A;;0.01;0;V;4
19;3;260;U16;;Current Error;;0.1;0;;4
20;3;266;I16;;Analog Output EM-S1OUTA;;0.01;0;V;4
21;3;270;U16;;Warnings;;0.1;0;;4
22;3;274;U16;;Application Warning;;0.01;0;;4
23;3;277;I16;;STO Status;;0.1;0;;4
24;3;287;I16;;Peak Value Udc;;0.01;0;V;4
25;3;288;U16;;Average Value Udc;;0.1;0;V;4
26;3;289;I16;;Peak Value Heat Sink Temp.;;0.01;0;°C;4
27;3;290;I16;;Average Value Heat Sink Temp.;;0.1;0;°C;4
28;3;291;I16;;Peak Value Inside Temperature;;0.01;0;°C;4
29;3;292;I16;;Average Value Inside Temperature;;0.1;0;°C;4
30;3;293;I16;;Peak Value Irms;;0.01;0;A;4
31;3;294;U16;;Average Value Irms;;0.1;0;A;4
32;3;295;I16;;Peak Value Active Power, Positive;;0.01;0;kW;4
33;3;296;I16;;Peak Value Active Power, negative;;0.1;0;kW;4
34;3;297;I16;;Average Value Active Power;;0.01;0;kW;4
35;3;301;I32;;Active Energy, Positive/Active Energy, Negative;;0.1;0;kWh;4
36;3;520;I16;;Reference value Cosphi/Q;;0.1;0;%;4
37;3;850;I32;;Frequency;;0.01;0;Hz;4
38;3;852;I16;;Power supply current;;0.1;0;A;4
39;3;853;I16;;Power supply voltage;;0.01;0;V;4
40;3;855;I16;;DC Power;;0.1;0;kW;4
41;3;856;I16;;Power Factor Phase a;;0.01;0;;4
42;3;857;I16;;Power Factor Phase b;;0.1;0;;4
43;3;858;I16;;Power Factor Phase c;;0.01;0;;4
44;3;859;I16;;Power Factor Total;;0.1;0;;4
45;3;860;I16;;DC Current;;0.01;0;A;4
46;3;861;I16;;Active current;;0.1;0;A;4
47;3;862;I16;;Reactive current;;0.01;0;A;4
48;3;863;I16;;Current Phase a;;0.1;0;A;4
49;3;864;I16;;Current Phase b;;0.01;0;A;4
50;3;865;I16;;Current Phase c;;0.1;0;A;4
51;3;866;I16;;Power Supply Voltage Phase a;;0.01;0;V;4
52;3;867;I16;;Power Supply Voltage Phase b;;0.1;0;V;4
53;3;868;I16;;Power Supply Voltage Phase c;;0.01;0;V;4
54;3;869;I16;;Active Power Phase a;;0.1;0;kW;4
55;3;870;I16;;Active Power Phase b;;0.01;0;kW;4
56;3;871;I16;;Active Power Phase c;;0.1;0;kW;4
57;3;872;I16;;Reactive power Phase a;;0.01;0;kvar;4
58;3;873;I16;;Reactive power Phase b;;0.1;0;kvar;4
59;3;874;I16;;Reactive power Phase c;;0.01;0;kvar;4
60;3;875;I16;;Apparent Power Phase a;;0.1;0;kVA;4
61;3;876;I16;;Apparent Power Phase b;;0.01;0;kVA;4
62;3;877;I16;;Apparent Power Phase c;;0.1;0;kVA;4
63;3;878;I16;;Reactive Power;;0.01;0;kVA;4
64;3;879;I16;;Apparent Power;;0.001;0;kVA;4
65;3;1020;U16;;Power reduction reference value;;0.1;0;%;4
66;3;1090;U16;;Solar-Status;;0.1;0;;4
67;3;1160;I16;;Reference value cos_phi;;0.1;0;;4
68;3;1161;I16;;Reference value reactive power;;0.1;0;kVA;4
69;3;1190;I16;;Angle cosphi;;0.1;0;deg;4
70;3;1191;I16;;Cosphi;;0.1;0;;4
71;3;1192;I16;;Isq_GF;;0.001;0;A;4
72;3;1193;I16;;Isd_GF;;0.001;0;A;4
73;3;1194;I16;;Usq_real_tot_GF;;0.001;0;V;4
74;3;1233;U16;;Checksum;;0.001;0;;4
75;3;1487;U16;;Controller Status;;1;0;;4
76;3;2000;I16;;Active Energy High Word;;1;0;;4
77;3;2001;I16;;Active Energy Low  Word;;0.001;0;;4
78;3;3000;I16;;Working Hours Counter High;;0.01;0;;4
79;3;3001;I16;;Working Hours Counter Low Word;;0.01;0;;4
80;3;4000;I16;;Operation Hours Counter High  Word;;0.1;0;;4
81;3;4001;I16;;Operation Hours Counter Low  Word;;0.001;0;;4
82;3;5000;I16;;Energy Negative High  Word;;1;0;;4
83;3;5001;I16;;Energy Negative Low  Word;;1;0;;4
