modbusRTU;Inverter;SofarSolar;HYDG3;1;;;;;;
1;3;1156;U16;;Frequency_Grid;;0.010000;0.000000;Hz;4
2;3;1157;I16;;ActivePower_Output_Total;RealPower;0.010000;0.000000;kW;4
3;3;1158;I16;;ReactivePower_Output_Total;;0.010000;0.000000;kW;4
4;3;1159;I16;;ApparentPower_Output_Total;;0.010000;0.000000;kW;4
5;3;1160;I16;;ActivePower_PCC_Total;;0.010000;0.000000;kW;4
6;3;1161;I16;;ReactivePower_PCC_Total;;0.010000;0.000000;kW;4
7;3;1162;I16;;ApparentPower_PCC_Total;;0.010000;0.000000;kW;4
8;3;1163;U16;;Voltage_Phase_R;;0.100000;0.000000;V;4
9;3;1164;U16;;Current_Output_R;;0.010000;0.000000;A;4
10;3;1165;I16;;ActivePower_Output_R;;0.010000;0.000000;kW;4
11;3;1166;U16;;Current_PCC_R;;0.010000;0.000000;A;4
12;3;1167;I16;;ActivePower_PCC_R;;0.010000;0.000000;kW;4
13;3;1168;I16;;ReactivePower_PCC_R;;0.010000;0.000000;kW;4
14;3;1169;I16;;PowerFactor_PCC_R;;0.010000;0.000000;p.u;4
15;3;1170;U16;;Voltage_Phase_S;;0.100000;0.000000;V;4
16;3;1171;U16;;Current_Output_S;;0.010000;0.000000;A;4
17;3;1172;I16;;ActivePower_Output_S;;0.010000;0.000000;kW;4
18;3;1173;I16;;ReactivePower_Output_S;;0.010000;0.000000;kW;4
19;3;1174;U16;;Voltage_Phase_T;;0.100000;0.000000;V;4
20;3;1175;U16;;Current_Output_T;;0.010000;0.000000;A;4
21;3;1176;U16;;Current_PCC_T;;0.010000;0.000000;A;4
22;3;1177;I16;;PowerFactor_PCC_T;;0.001000;0.000000;p.u;4
23;3;1178;U16;;ActivePower_PV_Ext;;0.010000;0.000000;kW;4
24;3;1179;U16;;ActivePower_Load_Sys;;0.010000;0.000000;kW;4
25;3;1412;U16;;Voltage_PV1;;0.100000;0.000000;V;4
26;3;1413;U16;;Current_PV1;;0.010000;0.000000;A;4
27;3;1414;U16;;Power_PV1;;0.010000;0.000000;kW;4
28;3;1415;U16;;Voltage_PV2;;0.100000;0.000000;V;4
29;3;1416;U16;;Current_PV2;;0.010000;0.000000;A;4
30;3;1417;U16;;Power_PV2;;0.010000;0.000000;kW;4
31;3;1418;U16;;Voltage_PV3;;0.100000;0.000000;V;4
32;3;1419;U16;;Current_PV3;;0.010000;0.000000;A;4
33;3;1420;U16;;Power_PV3;;0.010000;0.000000;kW;4
34;3;1421;U16;;Voltage_PV4;;0.100000;0.000000;V;4
35;3;1422;U16;;Current_PV4;;0.010000;0.000000;A;4
36;3;1423;U16;;Power_PV4;;0.010000;0.000000;kW;4
37;3;1424;U16;;Voltage_PV5;;0.100000;0.000000;V;4
38;3;1425;U16;;Current_PV5;;0.010000;0.000000;A;4
