modbusTCP;inverter;SMA;STP 110-60;;;;;;;0
1;3;40003;I16;;1_tableId;;1;0;;0
2;3;40004;I16;;1_tableSize;;1;0;;0
3;3;40005;U16;;1_Mn;;1;0;;0
4;3;40021;STRING;;1_Md;DisplayModel;1;0;;4
5;3;40037;STRING;;1_Opt;;1;0;;0
6;3;40045;STRING;;1_Vr;;1;0;;0
7;3;40053;STRING;;1_SN;DisplaySerialNumber;1;0;;4
8;3;40069;U16;;1_DA;;1;0;;0
10;3;40071;U16;;tableId;;1;0;;0
11;3;40072;U16;;tableSize;;1;0;;0
12;3;40073;U16;A_SF;Amps;;1;0;A;0
13;3;40074;U16;A_SF;Phase 1 Amps;;1;0;A;0
14;3;40075;U16;A_SF;Phase 2 Amps;;1;0;A;0
15;3;40076;U16;A_SF;Phase 3 Amps;;1;0;A;0
16;3;40077;I16;;A_SF;;1;0;;0
17;3;40078;U16;V_SF;Phase voltage AB;;1;0;V;0
18;3;40079;U16;V_SF;Phase voltage BC;;1;0;V;0
19;3;40080;U16;V_SF;Phase voltage CA;;1;0;V;0
20;3;40081;U16;V_SF;V Line 1-N;;1;0;V;0
21;3;40082;U16;V_SF;V Line 2-N;;1;0;V;0
22;3;40083;U16;V_SF;V Line 3-N;;1;0;V;0
23;3;40084;I16;;V_SF;;1;0;;0
24;3;40085;I16;W_SF;W;;1;0;W;4
25;3;40086;I16;;W_SF;;1;0;;4
26;3;40087;U16;Hz_SF;Hz;;1;0;Hz;4
27;3;40088;I16;;Hz_SF;;1;0;;4
28;3;40089;I16;VA_SF;VA;;1;0;VA;4
29;3;40090;I16;;VA_SF;;1;0;;4
30;3;40091;I16;VAr_SF;VAr;;1;0;var;4
31;3;40092;I16;;VAr_SF;;1;0;;4
32;3;40093;I16;PF_SF;PF;;1;0;Pct;4
33;3;40094;I16;;PF_SF;;1;0;;4
34;3;40095;U32;WH_SF;WH;;1;0;Wh;4
35;3;40097;I16;;WH_SF;;1;0;;4
36;3;40098;U16;DCA_SF;DCA;;1;0;A;4
37;3;40099;I16;;DCA_SF;;1;0;;4
38;3;40100;U16;DCV_SF;DCV;;1;0;V;4
39;3;40101;I16;;DCV_SF;;1;0;;4
40;3;40102;I16;DCW_SF;DCW;;1;0;W;4
41;3;40103;I16;;DCW_SF;;1;0;;4
42;3;40104;I16;Tmp_SF;TmpCab;;1;0;C;4
43;3;40105;I16;Tmp_SF;TmpSnk;;1;0;C;0
44;3;40106;I16;Tmp_SF;TmpTrns;;1;0;C;0
45;3;40107;I16;Tmp_SF;TmpOt;;1;0;C;0
46;3;40108;I16;;Tmp_SF;;1;0;;4
47;3;40109;U16;;St;;1;0;;0
48;3;40110;U16;;StVnd;;1;0;;0
49;3;40111;U32;;Evt1;;1;0;;8
50;3;40113;U32;;Evt2;;1;0;;0
51;3;40115;U32;;EvtVnd1;;1;0;;0
52;3;40117;U32;;EvtVnd2;;1;0;;0
53;3;40119;U32;;EvtVnd3;;1;0;;0
54;3;40121;U32;;EvtVnd4;;1;0;;0
55;3;40123;I16;;120_tableId;;1;0;;0
56;3;40124;I16;;120_tableSize;;1;0;;0
57;3;40125;U16;;120_DERTyp;;1;0;;0
58;3;40126;U16;120_WRtg_SF;120_WRtg;;1;0;W;0
59;3;40127;I16;;120_WRtg_SF;;1;0;;0
60;3;40128;U16;120_VARtg_SF;120_VARtg;;1;0;VA;0
61;3;40129;I16;;120_VARtg_SF;;1;0;;0
62;3;40130;I16;120_VArRtg_SF;120_VArRtgQ1;;1;0;var;0
63;3;40131;I16;120_VArRtg_SF;120_VArRtgQ2;;1;0;var;0
64;3;40132;I16;120_VArRtg_SF;120_VArRtgQ3;;1;0;var;0
65;3;40133;I16;120_VArRtg_SF;120_VArRtgQ4;;1;0;var;0
66;3;40134;I16;;120_VArRtg_SF;;1;0;;0
67;3;40135;U16;120_ARtg_SF;120_ARtg;;1;0;A;0
68;3;40136;I16;;120_ARtg_SF;;1;0;;0
69;3;40137;I16;120_PFRtg_SF;120_PFRtgQ1;;1;0;cos();0
70;3;40138;I16;120_PFRtg_SF;120_PFRtgQ2;;1;0;cos();0
71;3;40139;I16;120_PFRtg_SF;120_PFRtgQ3;;1;0;cos();0
72;3;40140;I16;120_PFRtg_SF;120_PFRtgQ4;;1;0;cos();0
73;3;40141;I16;;120_PFRtg_SF;;1;0;;0
74;3;40142;U16;120_WHRtg_SF;120_WHRtg;;1;0;Wh;0
75;3;40143;I16;;120_WHRtg_SF;;1;0;;0
76;3;40144;U16;120_AhrRtg_SF;120_AhrRtg;;1;0;AH;0
77;3;40145;I16;;120_AhrRtg_SF;;1;0;;0
78;3;40146;U16;120_MaxChaRte_SF;120_MaxChaRte;;1;0;W;0
79;3;40147;I16;;120_MaxChaRte_SF;;1;0;;0
80;3;40148;U16;120_MaxDisChaRte_SF;120_MaxDisChaRte;;1;0;W;0
81;3;40149;I16;;120_MaxDisChaRte_SF;;1;0;;0
83;3;40151;I16;;121_tableId;;1;0;;0
84;3;40152;I16;;121_tableSize;;1;0;;0
85;3;40153;U16;121_WMax_SF;121_WMax;;1;0;W;0
86;3;40154;U16;121_VRef_SF;121_VRef;;1;0;V;0
87;3;40155;I16;121_VRefOfs_SF;121_VRefOfs;;1;0;V;0
88;3;40156;U16;121_VMinMax_SF;121_VMax;;1;0;V;0
89;3;40157;U16;121_VMinMax_SF;121_VMin;;1;0;V;0
90;3;40158;U16;121_VAMax_SF;121_VAMax;;1;0;VA;0
91;3;40159;I16;121_VArMax_SF;121_VArMaxQ1;;1;0;var;0
92;3;40160;I16;121_VArMax_SF;121_VArMaxQ2;;1;0;var;0
93;3;40161;I16;121_VArMax_SF;121_VArMaxQ3;;1;0;var;0
94;3;40162;I16;121_VArMax_SF;121_VArMaxQ4;;1;0;var;0
95;3;40163;U16;121_WGra_SF;121_WGra;;1;0;% WMax/sec;0
96;3;40164;I16;121_PFMin_SF;121_PFMinQ1;;1;0;cos();0
97;3;40165;I16;121_PFMin_SF;121_PFMinQ2;;1;0;cos();0
98;3;40166;I16;121_PFMin_SF;121_PFMinQ3;;1;0;cos();0
99;3;40167;I16;121_PFMin_SF;121_PFMinQ4;;1;0;cos();0
100;3;40168;U16;;121_VArAct;;1;0;;0
101;3;40169;U16;;121_ClcTotVA;;1;0;;0
102;3;40170;U16;121_MaxRmpRte_SF;121_MaxRmpRte;;1;0;% WGra;0
103;3;40171;U16;121_ECPNomHz_SF;121_ECPNomHz;;1;0;Hz;0
104;3;40172;U16;;121_ConnPh;;1;0;;0
105;3;40173;I16;;121_WMax_SF;;1;0;;0
106;3;40174;I16;;121_VRef_SF;;1;0;;0
107;3;40175;I16;;121_VRefOfs_SF;;1;0;;0
108;3;40176;I16;;121_VMinMax_SF;;1;0;;0
109;3;40177;I16;;121_VAMax_SF;;1;0;;0
110;3;40178;I16;;121_VArMax_SF;;1;0;;0
111;3;40179;I16;;121_WGra_SF;;1;0;;0
112;3;40180;I16;;121_PFMin_SF;;1;0;;0
113;3;40181;I16;;121_MaxRmpRte_SF;;1;0;;0
114;3;40182;I16;;121_ECPNomHz_SF;;1;0;;0
115;3;40183;I16;;122_tableId;;1;0;;0
116;3;40184;I16;;122_tableSize;;1;0;;0
117;3;40185;U16;;122_PVConn;;1;0;;0
118;3;40186;U16;;122_StorConn;;1;0;;0
119;3;40187;U16;;122_ECPConn;;1;0;;0
120;3;40188;U64;;122_ActWh;;1;0;Wh;0
121;3;40192;U64;;122_ActVAh;;1;0;VAh;0
122;3;40196;U64;;122_ActVArhQ1;;1;0;varh;0
123;3;40200;U64;;122_ActVArhQ2;;1;0;varh;0
124;3;40204;U64;;122_ActVArhQ3;;1;0;varh;0
125;3;40208;U64;;122_ActVArhQ4;;1;0;varh;0
126;3;40212;I16;122_VArAval_SF;122_VArAval;;1;0;var;0
127;3;40213;I16;;122_VArAval_SF;;1;0;;0
128;3;40214;U16;122_WAval_SF;122_WAval;;1;0;var;0
129;3;40215;I16;;122_WAval_SF;;1;0;;0
130;3;40216;U32;;122_StSetLimMsk;;1;0;;0
131;3;40218;U32;;122_StActCtl;;1;0;;0
132;3;40220;STRING;;122_TmSrc;;1;0;;0
133;3;40224;U32;;122_Tms;;1;0;Secs;0
134;3;40226;U16;;122_RtSt;;1;0;;0
135;3;40227;U16;122_Ris_SF;122_Ris;;1;0;ohms;0
136;3;40228;I16;;122_Ris_SF;;1;0;;0
137;3;40229;I16;;123_tableId;;1;0;;0
138;3;40230;I16;;123_tableSize;;1;0;;0
139;3;40231;U16;;123_Conn_WinTms;;1;0;Secs;0
140;3;40232;U16;;123_Conn_RvrtTms;;1;0;Secs;0
141;3;40233;U16;;123_Conn;;1;0;;0
142;3;40234;U16;123_WMaxLimPct_SF;WMaxLimPct;cmdPwrPercent;1;0;% WMax;4
143;3;40235;U16;;123_WMaxLimPct_WinTms;;1;0;Secs;0
144;3;40236;U16;;123_WMaxLimPct_RvrtTms;;1;0;Secs;0
145;3;40237;U16;;123_WMaxLimPct_RmpTms;WMaxLimPct_RmpTms;1;0;Secs;4
146;3;40238;U16;;123_WMaxLim_Ena;WMaxLim_Ena;1;0;;4
147;3;40239;I16;123_OutPFSet_SF;123_OutPFSet;;1;0;cos();0
148;3;40240;U16;;123_OutPFSet_WinTms;;1;0;Secs;0
149;3;40241;U16;;123_OutPFSet_RvrtTms;;1;0;Secs;0
150;3;40242;U16;;123_OutPFSet_RmpTms;;1;0;Secs;0
151;3;40243;U16;;123_OutPFSet_Ena;;1;0;;0
152;3;40244;I16;123_VArPct_SF;123_VArWMaxPct;;1;0;% WMax;0
153;3;40245;I16;123_VArPct_SF;123_VArMaxPct;;1;0;% VArMax;0
154;3;40246;I16;123_VArPct_SF;123_VArAvalPct;;1;0;% VArAval;0
155;3;40247;U16;;123_VArPct_WinTms;;1;0;Secs;0
156;3;40248;U16;;123_VArPct_RvrtTms;;1;0;Secs;0
157;3;40249;U16;;123_VArPct_RmpTms;;1;0;Secs;0
158;3;40250;U16;;123_VArPct_Mod;VArPct_Mod;1;0;;4
159;3;40251;U16;;123_VArPct_Ena;;1;0;;0
160;3;40252;I16;;123_WMaxLimPct_SF;;1;0;;4
161;3;40253;I16;;123_OutPFSet_SF;;1;0;;0
162;3;40254;I16;;123_VArPct_SF;;1;0;;0
163;3;40255;I16;;126_tableId;;1;0;;0
164;3;40256;I16;;126_tableSize;;1;0;;0
165;3;40257;U16;;126_ActCrv;;1;0;;0
166;3;40258;U16;;126_ModEna;;1;0;;0
167;3;40259;U16;;126_WinTms;;1;0;Secs;0
168;3;40260;U16;;126_RvrtTms;;1;0;Secs;0
169;3;40261;U16;;126_RmpTms;;1;0;Secs;0
170;3;40262;U16;;126_NCrv;;1;0;;0
171;3;40263;U16;;126_NPt;;1;0;;0
172;3;40264;I16;;126_V_SF;;1;0;;0
173;3;40265;I16;;126_DeptRef_SF;;1;0;;0
174;3;40266;I16;;126_RmpIncDec_SF;;1;0;;0
175;3;40267;U16;;126_0_ActPt;;1;0;;0
176;3;40268;U16;;126_0_DeptRef;;1;0;;0
177;3;40269;U16;126_V_SF;126_0_V1;;1;0;% VRef;0
178;3;40270;I16;126_DeptRef_SF;126_0_VAr1;;1;0;;0
179;3;40271;U16;126_V_SF;126_0_V2;;1;0;% VRef;0
180;3;40272;I16;126_DeptRef_SF;126_0_VAr2;;1;0;;0
181;3;40273;U16;126_V_SF;126_0_V3;;1;0;% VRef;0
182;3;40274;I16;126_DeptRef_SF;126_0_VAr3;;1;0;;0
183;3;40275;U16;126_V_SF;126_0_V4;;1;0;% VRef;0
184;3;40276;I16;126_DeptRef_SF;126_0_VAr4;;1;0;;0
185;3;40277;U16;126_V_SF;126_0_V5;;1;0;% VRef;0
186;3;40278;I16;126_DeptRef_SF;126_0_VAr5;;1;0;;0
187;3;40279;U16;126_V_SF;126_0_V6;;1;0;% VRef;0
188;3;40280;I16;126_DeptRef_SF;126_0_VAr6;;1;0;;0
189;3;40281;U16;126_V_SF;126_0_V7;;1;0;% VRef;0
190;3;40282;I16;126_DeptRef_SF;126_0_VAr7;;1;0;;0
191;3;40283;U16;126_V_SF;126_0_V8;;1;0;% VRef;0
192;3;40284;I16;126_DeptRef_SF;126_0_VAr8;;1;0;;0
193;3;40285;U16;126_V_SF;126_0_V9;;1;0;% VRef;0
194;3;40286;I16;126_DeptRef_SF;126_0_VAr9;;1;0;;0
195;3;40287;U16;126_V_SF;126_0_V10;;1;0;% VRef;0
196;3;40288;I16;126_DeptRef_SF;126_0_VAr10;;1;0;;0
197;3;40289;U16;126_V_SF;126_0_V11;;1;0;% VRef;0
198;3;40290;I16;126_DeptRef_SF;126_0_VAr11;;1;0;;0
199;3;40291;U16;126_V_SF;126_0_V12;;1;0;% VRef;0
200;3;40292;I16;126_DeptRef_SF;126_0_VAr12;;1;0;;0
201;3;40293;U16;126_V_SF;126_0_V13;;1;0;% VRef;0
202;3;40294;I16;126_DeptRef_SF;126_0_VAr13;;1;0;;0
203;3;40295;U16;126_V_SF;126_0_V14;;1;0;% VRef;0
204;3;40296;I16;126_DeptRef_SF;126_0_VAr14;;1;0;;0
205;3;40297;U16;126_V_SF;126_0_V15;;1;0;% VRef;0
206;3;40298;I16;126_DeptRef_SF;126_0_VAr15;;1;0;;0
207;3;40299;U16;126_V_SF;126_0_V16;;1;0;% VRef;0
208;3;40300;I16;126_DeptRef_SF;126_0_VAr16;;1;0;;0
209;3;40301;U16;126_V_SF;126_0_V17;;1;0;% VRef;0
210;3;40302;I16;126_DeptRef_SF;126_0_VAr17;;1;0;;0
211;3;40303;U16;126_V_SF;126_0_V18;;1;0;% VRef;0
212;3;40304;I16;126_DeptRef_SF;126_0_VAr18;;1;0;;0
213;3;40305;U16;126_V_SF;126_0_V19;;1;0;% VRef;0
214;3;40306;I16;126_DeptRef_SF;126_0_VAr19;;1;0;;0
215;3;40307;U16;126_V_SF;126_0_V20;;1;0;% VRef;0
216;3;40308;I16;126_DeptRef_SF;126_0_VAr20;;1;0;;0
217;3;40309;STRING;;126_0_CrvNam;;1;0;;0
218;3;40317;U16;;126_0_RmpTms;;1;0;Secs;0
219;3;40318;U16;126_RmpIncDec_SF;126_0_RmpDecTmm;;1;0;% ref_value/min;0
220;3;40319;U16;126_RmpIncDec_SF;126_0_RmpIncTmm;;1;0;% ref_value/min;0
221;3;40320;U16;;126_0_ReadOnly;;1;0;;0
222;3;40321;U16;;126_1_ActPt;;1;0;;0
223;3;40322;U16;;126_1_DeptRef;;1;0;;0
224;3;40323;U16;126_V_SF;126_1_V1;;1;0;% VRef;0
225;3;40324;I16;126_DeptRef_SF;126_1_VAr1;;1;0;;0
226;3;40325;U16;126_V_SF;126_1_V2;;1;0;% VRef;0
227;3;40326;I16;126_DeptRef_SF;126_1_VAr2;;1;0;;0
228;3;40327;U16;126_V_SF;126_1_V3;;1;0;% VRef;0
229;3;40328;I16;126_DeptRef_SF;126_1_VAr3;;1;0;;0
230;3;40329;U16;126_V_SF;126_1_V4;;1;0;% VRef;0
231;3;40330;I16;126_DeptRef_SF;126_1_VAr4;;1;0;;0
232;3;40331;U16;126_V_SF;126_1_V5;;1;0;% VRef;0
233;3;40332;I16;126_DeptRef_SF;126_1_VAr5;;1;0;;0
234;3;40333;U16;126_V_SF;126_1_V6;;1;0;% VRef;0
235;3;40334;I16;126_DeptRef_SF;126_1_VAr6;;1;0;;0
236;3;40335;U16;126_V_SF;126_1_V7;;1;0;% VRef;0
237;3;40336;I16;126_DeptRef_SF;126_1_VAr7;;1;0;;0
238;3;40337;U16;126_V_SF;126_1_V8;;1;0;% VRef;0
239;3;40338;I16;126_DeptRef_SF;126_1_VAr8;;1;0;;0
240;3;40339;U16;126_V_SF;126_1_V9;;1;0;% VRef;0
241;3;40340;I16;126_DeptRef_SF;126_1_VAr9;;1;0;;0
242;3;40341;U16;126_V_SF;126_1_V10;;1;0;% VRef;0
243;3;40342;I16;126_DeptRef_SF;126_1_VAr10;;1;0;;0
244;3;40343;U16;126_V_SF;126_1_V11;;1;0;% VRef;0
245;3;40344;I16;126_DeptRef_SF;126_1_VAr11;;1;0;;0
246;3;40345;U16;126_V_SF;126_1_V12;;1;0;% VRef;0
247;3;40346;I16;126_DeptRef_SF;126_1_VAr12;;1;0;;0
248;3;40347;U16;126_V_SF;126_1_V13;;1;0;% VRef;0
249;3;40348;I16;126_DeptRef_SF;126_1_VAr13;;1;0;;0
250;3;40349;U16;126_V_SF;126_1_V14;;1;0;% VRef;0
251;3;40350;I16;126_DeptRef_SF;126_1_VAr14;;1;0;;0
252;3;40351;U16;126_V_SF;126_1_V15;;1;0;% VRef;0
253;3;40352;I16;126_DeptRef_SF;126_1_VAr15;;1;0;;0
254;3;40353;U16;126_V_SF;126_1_V16;;1;0;% VRef;0
255;3;40354;I16;126_DeptRef_SF;126_1_VAr16;;1;0;;0
256;3;40355;U16;126_V_SF;126_1_V17;;1;0;% VRef;0
257;3;40356;I16;126_DeptRef_SF;126_1_VAr17;;1;0;;0
258;3;40357;U16;126_V_SF;126_1_V18;;1;0;% VRef;0
259;3;40358;I16;126_DeptRef_SF;126_1_VAr18;;1;0;;0
260;3;40359;U16;126_V_SF;126_1_V19;;1;0;% VRef;0
261;3;40360;I16;126_DeptRef_SF;126_1_VAr19;;1;0;;0
262;3;40361;U16;126_V_SF;126_1_V20;;1;0;% VRef;0
263;3;40362;I16;126_DeptRef_SF;126_1_VAr20;;1;0;;0
264;3;40363;STRING;;126_1_CrvNam;;1;0;;0
265;3;40371;U16;;126_1_RmpTms;;1;0;Secs;0
266;3;40372;U16;126_RmpIncDec_SF;126_1_RmpDecTmm;;1;0;% ref_value/min;0
267;3;40373;U16;126_RmpIncDec_SF;126_1_RmpIncTmm;;1;0;% ref_value/min;0
268;3;40374;U16;;126_1_ReadOnly;;1;0;;0
269;3;40375;U16;;126_2_ActPt;;1;0;;0
270;3;40376;U16;;126_2_DeptRef;;1;0;;0
271;3;40377;U16;126_V_SF;126_2_V1;;1;0;% VRef;0
272;3;40378;I16;126_DeptRef_SF;126_2_VAr1;;1;0;;0
273;3;40379;U16;126_V_SF;126_2_V2;;1;0;% VRef;0
274;3;40380;I16;126_DeptRef_SF;126_2_VAr2;;1;0;;0
275;3;40381;U16;126_V_SF;126_2_V3;;1;0;% VRef;0
276;3;40382;I16;126_DeptRef_SF;126_2_VAr3;;1;0;;0
277;3;40383;U16;126_V_SF;126_2_V4;;1;0;% VRef;0
278;3;40384;I16;126_DeptRef_SF;126_2_VAr4;;1;0;;0
279;3;40385;U16;126_V_SF;126_2_V5;;1;0;% VRef;0
280;3;40386;I16;126_DeptRef_SF;126_2_VAr5;;1;0;;0
281;3;40387;U16;126_V_SF;126_2_V6;;1;0;% VRef;0
282;3;40388;I16;126_DeptRef_SF;126_2_VAr6;;1;0;;0
283;3;40389;U16;126_V_SF;126_2_V7;;1;0;% VRef;0
284;3;40390;I16;126_DeptRef_SF;126_2_VAr7;;1;0;;0
285;3;40391;U16;126_V_SF;126_2_V8;;1;0;% VRef;0
286;3;40392;I16;126_DeptRef_SF;126_2_VAr8;;1;0;;0
287;3;40393;U16;126_V_SF;126_2_V9;;1;0;% VRef;0
288;3;40394;I16;126_DeptRef_SF;126_2_VAr9;;1;0;;0
289;3;40395;U16;126_V_SF;126_2_V10;;1;0;% VRef;0
290;3;40396;I16;126_DeptRef_SF;126_2_VAr10;;1;0;;0
291;3;40397;U16;126_V_SF;126_2_V11;;1;0;% VRef;0
292;3;40398;I16;126_DeptRef_SF;126_2_VAr11;;1;0;;0
293;3;40399;U16;126_V_SF;126_2_V12;;1;0;% VRef;0
294;3;40400;I16;126_DeptRef_SF;126_2_VAr12;;1;0;;0
295;3;40401;U16;126_V_SF;126_2_V13;;1;0;% VRef;0
296;3;40402;I16;126_DeptRef_SF;126_2_VAr13;;1;0;;0
297;3;40403;U16;126_V_SF;126_2_V14;;1;0;% VRef;0
298;3;40404;I16;126_DeptRef_SF;126_2_VAr14;;1;0;;0
299;3;40405;U16;126_V_SF;126_2_V15;;1;0;% VRef;0
300;3;40406;I16;126_DeptRef_SF;126_2_VAr15;;1;0;;0
301;3;40407;U16;126_V_SF;126_2_V16;;1;0;% VRef;0
302;3;40408;I16;126_DeptRef_SF;126_2_VAr16;;1;0;;0
303;3;40409;U16;126_V_SF;126_2_V17;;1;0;% VRef;0
304;3;40410;I16;126_DeptRef_SF;126_2_VAr17;;1;0;;0
305;3;40411;U16;126_V_SF;126_2_V18;;1;0;% VRef;0
306;3;40412;I16;126_DeptRef_SF;126_2_VAr18;;1;0;;0
307;3;40413;U16;126_V_SF;126_2_V19;;1;0;% VRef;0
308;3;40414;I16;126_DeptRef_SF;126_2_VAr19;;1;0;;0
309;3;40415;U16;126_V_SF;126_2_V20;;1;0;% VRef;0
310;3;40416;I16;126_DeptRef_SF;126_2_VAr20;;1;0;;0
311;3;40417;STRING;;126_2_CrvNam;;1;0;;0
312;3;40425;U16;;126_2_RmpTms;;1;0;Secs;0
313;3;40426;U16;126_RmpIncDec_SF;126_2_RmpDecTmm;;1;0;% ref_value/min;0
314;3;40427;U16;126_RmpIncDec_SF;126_2_RmpIncTmm;;1;0;% ref_value/min;0
315;3;40428;U16;;126_2_ReadOnly;;1;0;;0
316;3;40429;I16;;127_tableId;;1;0;;0
317;3;40430;I16;;127_tableSize;;1;0;;0
318;3;40431;U16;127_WGra_SF;127_WGra;;1;0;% PM/Hz;0
319;3;40432;I16;127_HzStrStop_SF;127_HzStr;;1;0;Hz;0
320;3;40433;I16;127_HzStrStop_SF;127_HzStop;;1;0;Hz;0
321;3;40434;U16;;127_HysEna;;1;0;;0
322;3;40435;U16;;127_ModEna;;1;0;;0
323;3;40436;U16;127_RmpIncDec_SF;127_HzStopWGra;;1;0;% WMax/min;0
324;3;40437;I16;;127_WGra_SF;;1;0;;0
325;3;40438;I16;;127_HzStrStop_SF;;1;0;;0
326;3;40439;I16;;127_RmpIncDec_SF;;1;0;;0
328;3;40441;I16;;128_tableId;;1;0;;0
329;3;40442;I16;;128_tableSize;;1;0;;0
330;3;40443;U16;;128_ArGraMod;;1;0;;0
331;3;40444;U16;128_ArGra_SF;128_ArGraSag;;1;0;%ARtg/%dV;0
332;3;40445;U16;128_ArGra_SF;128_ArGraSwell;;1;0;%ARtg/%dV;0
333;3;40446;U16;;128_ModEna;;1;0;;0
334;3;40447;U16;;128_FilTms;;1;0;Secs;0
335;3;40448;U16;128_VRefPct_SF;128_DbVMin;;1;0;% VRef;0
336;3;40449;U16;128_VRefPct_SF;128_DbVMax;;1;0;% VRef;0
337;3;40450;U16;128_VRefPct_SF;128_BlkZnV;;1;0;% VRef;0
338;3;40451;U16;128_VRefPct_SF;128_HysBlkZnV;;1;0;% VRef;0
339;3;40452;U16;;128_BlkZnTmms;;1;0;mSecs;0
340;3;40453;U16;;128_HoldTmms;;1;0;mSecs;0
341;3;40454;I16;;128_ArGra_SF;;1;0;;0
342;3;40455;I16;;128_VRefPct_SF;;1;0;;0
344;3;40457;I16;;129_tableId;;1;0;;0
345;3;40458;I16;;129_tableSize;;1;0;;0
346;3;40459;U16;;129_ActCrv;;1;0;;0
347;3;40460;U16;;129_ModEna;;1;0;;0
348;3;40461;U16;;129_WinTms;;1;0;Secs;0
349;3;40462;U16;;129_RvrtTms;;1;0;Secs;0
350;3;40463;U16;;129_RmpTms;;1;0;Secs;0
351;3;40464;U16;;129_NCrv;;1;0;;0
352;3;40465;U16;;129_NPt;;1;0;;0
353;3;40466;I16;;129_Tms_SF;;1;0;;0
354;3;40467;I16;;129_V_SF;;1;0;;0
356;3;40469;U16;;129_0_ActPt;;1;0;;0
357;3;40470;U16;129_Tms_SF;129_0_Tms1;;1;0;Secs;0
358;3;40471;U16;129_V_SF;129_0_V1;;1;0;% VRef;0
359;3;40472;U16;129_Tms_SF;129_0_Tms2;;1;0;Secs;0
360;3;40473;U16;129_V_SF;129_0_V2;;1;0;% VRef;0
361;3;40474;U16;129_Tms_SF;129_0_Tms3;;1;0;Secs;0
362;3;40475;U16;129_V_SF;129_0_V3;;1;0;% VRef;0
363;3;40476;U16;129_Tms_SF;129_0_Tms4;;1;0;Secs;0
