modbusRTU;Meter;Acrel;DTSD1352;;;;;;;
1;3;0;U32;;Current total active energy;;0.01;0;kWh;4
2;3;2;U32;;Current spike total active energy;;0.01;0;kWh;4
3;3;4;U32;;Current peak total active energy;;0.01;0;kWh;4
4;3;6;U32;;Current flat total active energy;;0.01;0;kWh;4
5;3;8;U32;;Current valley total active energy;;0.01;0;kWh;4
6;3;10;U32;;Current forward active total energy;;0.01;0;kWh;4
7;3;12;U32;;Current forward active spike energy;;0.01;0;kWh;4
8;3;14;U32;;Current forward active peak energy;;0.01;0;kWh;4
9;3;16;U32;;Current forward active flat energy;;0.01;0;kWh;4
10;3;18;U32;;Current forward active valley energy;;0.01;0;kWh;4
11;3;20;U32;;Current reversing active total energy;;0.01;0;kWh;4
12;3;30;U32;;Current total reactive energy;;0.01;0;kvarh;4
13;3;32;U32;;Current total reactive spike energy;;0.01;0;kvarh;4
14;3;34;U32;;Current total reactive peak energy;;0.01;0;kvarh;4
15;3;36;U32;;Current total reactive flat energy;;0.01;0;kvarh;4
16;3;38;U32;;Current total reactive valley energy;;0.01;0;kvarh;4
17;3;40;U32;;Current forward reactive total energy;;0.01;0;kvarh;4
18;3;42;U32;;Current forward reactive spike energy;;0.01;0;kvarh;4
19;3;44;U32;;Current forward reactive peak energy;;0.01;0;kvarh;4
20;3;46;U32;;Current forward reactive flat energy;;0.01;0;kvarh;4
21;3;48;U32;;Current forward reactive valley energy;;0.01;0;kvarh;4
22;3;50;U32;;Current reversing reactive total energy;;0.01;0;kvarh;4
23;3;52;U32;;Current reversing reactive spike energy;;0.01;0;kvarh;4
24;3;54;U32;;Current reversing reactive peak energy;;0.01;0;kvarh;4
25;3;56;U32;;Current reversing reactive flat energy;;0.01;0;kvarh;4
26;3;58;U32;;Current reversing reactive valley energy;;0.01;0;kvarh;4
27;3;60;U16;;Time: second, minute;;1;0;;4
28;3;61;U16;;Time: hour, day;;1;0;;4
29;3;62;U16;;Time: month, year;;1;0;;4
30;3;63;U16;;First communication path: Address;;1;0;;1
