modbusRTU;Meter;ANEXO;METER;;;;;;;
1;3;0;I32;;0.0.1 modbus adres (modbus adres  1);;1;0;;4
2;3;2;I32;;32.25 Voltage L1 (230V);;1;0;V;4
3;3;4;I32;;52.25 Voltage L2 (230V);;1;0;V;4
4;3;6;I32;;72.25 Voltage L3 (230V);;1;0;V;4
5;3;8;I32;;31.25 Stroom L1 (25A);;1;0;A;4
6;3;10;I32;;51.25 Stroom L2 (25A);;1;0;A;4
7;3;12;I32;;71.25 Stroom L3 (25A);;1;0;A;4
8;3;14;I32;;1.25 Werkelijk vermogen (17 kW);;1;0;kW;4
9;3;16;I32;;3.25 Blind vermogen (0 kVAR);;1;0;KVAR;4
10;3;18;I32;;9.25 Schijnbaar vermogen (17 kW);;1;0;Kw;4
11;3;20;I32;;14.25 Frequentie (50.00 Hz);;1;0;Hz;4
12;3;22;I32;;13.25 Arbeidsfactor (1.00);;1;0;;4
13;3;24;I32;;1.8.0 meterstand leveren cumulatief (70000 kWh);;1;0;kWh;4
14;3;26;I32;;2.8.0 meterstand terugleveren cumulatief (125000 kWh);;1;0;kWh;4
