modbusRTU;Inverter;AROS RIELLO;GENERIC;;;;;;;
1;3;11;U16;;Inverter Temperature;;0.1;0;Deg. Celsius;4
2;3;12;U16;;Vpv1 (Voltage PV1);;0.1;0;V;4
3;3;13;U16;;Vpv2 (Voltage PV2);;0.1;0;V;4
4;3;14;U16;;Vpv3 (Voltage PV3);;0.1;0;V;4
5;3;15;U16;;Ipv1 (Current PV1);;0.1;0;A;4
6;3;16;U16;;Ipv2 (Current PV2);;0.1;0;A;4
7;3;17;U16;;Ipv3 (Current PV3);;0.1;0;A;4
8;3;18;U16;;Iac_R (Phase R grid current);;0.1;0;A;4
9;3;19;U16;;Iac_S (Phase S grid current);;0.1;0;A;4
10;3;20;U16;;Iac_T (Phase T grid current);;0.1;0;A;4
11;3;21;U16;;Vac_R (Phase R grid voltage);;0.1;0;V;4
12;3;22;U16;;Vac_S (Phase S grid voltage);;0.1;0;V;4
13;3;23;U16;;Vac_T (Phase T grid voltage);;0.1;0;V;4
14;3;24;U16;;Fac (Grid frequency);;0.01;0;Hz;4
15;3;25;U16;;Pac_R (Phase R grid power);;10;0;W;4
16;3;26;U16;;Pac_S (Phase S grid power);;10;0;W;4
17;3;27;U16;;Pac_T (Phase T grid power);;10;0;W;4
18;3;28;U16;;Zac_R (Phase R grid impedance);;1;0;M/Ohm;4
19;3;29;U16;;Zac_S (Phase S grid impedance);;1;0;M/Ohm;4
20;3;30;U16;;Zac_T (Phase T grid impedance);;1;0;M/Ohm;4
21;3;31;U32;;E-Total (Total energy to grid);;0.1;0;kWh;4
22;3;33;U32;;H-total (Total operating hours);;1;0;Hour;4
23;3;35;U16;;Mode (Operating mode);;1;0;;4
24;3;36;U16;;GVFaultValue (Grid voltage when fail);;0.1;0;V;4
25;3;37;U16;;GFFaultValue (Grid frequency when fail);;0.01;0;Hz;4
26;3;38;U16;;GZFaultValue (Grid impedance when fail);;0.001;0;Ohm;4
27;3;39;U16;;TmpFaultValue (Temperature when fail);;0.1;0;Deg. Celsius;4
28;3;40;U16;;PVFaultValue (PV Voltage when fail);;0.1;0;V;4
29;3;41;U16;;PowReactive R (Phase R reactive power);;10;0;VAR;4
30;3;42;U16;;PowReactive S (Phase S reactive power);;10;0;VAR;4
31;3;43;U16;;PowReactive T (Phase R reactive power);;10;0;VAR;4
32;3;80;U16;;Phase number (0031h: single phase / 0033h: three phases);;1;0;;4
33;3;81;U16;;VA Rating ;;1;0;;4
34;3;82;U16;;VA Rating_1;;1;0;;4
35;3;83;I16;;VA Rating_2;;1;0;;4
36;3;84;U32;;Nom_Vpv (Nominal PV voltage);;1;0;;4
37;3;86;U32;;Firmware Version;;1;0;;4
38;3;89_16;STRING;;Serial Number;DisplaySerialNumber;1;0;;4
39;3;97_16;STRING;;Model Name;DisplayModel;1;0;;4
40;3;105_16;STRING;;Manufacturer;;1;0;;4
41;3;113;U16;;Cmd_code (supported commands : 40 (0x0028): Reset E-total and h-Total record , 50 (0x0032): Apply parameters of Power Reducing);WMaxLim_Ena;1;0;;4
42;3;141;U16;;M1/M0;;1;0;;4
43;3;142;U16;;P (Power reduction / in Percent 0-100);cmdPwrPercent;1;0;Percent;4
44;3;143;U16;;Q (Reactive power / -100 / +100 in Percent);;1;0;Percent;4
45;3;144;U16;;CP (Defined cosphi / -1-1 with accuracy 0.01;;0.01;0;;4
46;3;145;U16;;CO (command on/off - 0X0001 = on , 0X0002= off);;1;0;;4
47;3;146;U16;;RU (Power up ramp / 0-100 in Percent);;1;0;Percent;4
48;3;147;U16;;RD (Power down ramp / 0-100 in Percent);;1;0;Percent;4
49;3;7_1_16;BITS;;Alarm 1;;1;0;;8
50;3;8_1_16;BITS;;Alarm 2 ;;1;0;;8
