ModbusRTU;Inverter;Autarco;GENERIC;;;;;;;
1;4;2999;U16;;Product model;;1.0;0.0;;4
2;4;3000;U16;;DSP software version;;1.0;0.0;;4
3;4;3001;U16;;LCD software version;;1.0;0.0;;4
4;4;3002;U16;;AC output type;;1.0;0.0;;4
5;4;3003;U16;;DC input type;;1.0;0.0;;4
6;4;3004;I32;;Active Power;;1.0;0.0;;4
7;4;3006;U32;;Total DC output power;;1.0;0.0;W;4
8;4;3008;U32;;Total energy;;1.0;0.0;W;4
9;4;3010;U32_W;;Energy this month;;1.0;0.0;kWh;4
10;4;3012;U32_W;;Energy last month;;1.0;0.0;kWh;4
11;4;3014;U16;;Energy today;;1.0;0.0;kWh;4
13;4;3016;U32_W;;Energy this year ;;1.0;0.0;kWh;4
14;4;3018;U32_W;;Energy last year;;1.0;0.0;kWh;4
15;4;3020;I16;;HMI Version;;1.0;0.0;kWh;4
16;4;3021;U16;;DC voltage 1;;0.1;0.0;V;4
17;4;3022;U16;;DC current 1;;0.1;0.0;A;4
18;4;3023;U16;;DC voltage 2;;0.1;0.0;V;4
19;4;3024;U16;;DC current 2;;0.1;0.0;A;4
20;4;3025;U16;;DC voltage 3;;0.1;0.0;V;4
21;4;3026;U16;;DC current 3;;0.1;0.0;A;4
22;4;3027;U16;;DC voltage 4;;0.1;0.0;V;4
23;4;3028;U16;;DC current 4;;0.1;0.0;A;4
24;4;3029;U16;;Alarm code data;;1.0;0.0;;8
25;4;3030;U16;;Initialize ground voltage;;0.1;0.0;V;4
26;4;3031;U16;;DC busbar voltage;;1.0;0.0;;4
27;4;3032;U16;;DC half-busbar voltage;;0.1;0.0;V;4
28;4;3033;U16;;AB line voltage / A phase voltage;;0.1;0.0;V;4
29;4;3034;U16;;BC line voltage / B phase voltage;;0.1;0.0;V;4
30;4;3035;U16;;CA line voltage / C phase voltage;;0.1;0.0;V;4
31;4;3036;U16;;A phase current;;0.1;0.0;V;4
32;4;3037;U16;;B phase current;;0.1;0.0;A;4
33;4;3038;U16;;C phase current;;0.1;0.0;A;4
35;4;3040;U16;;Standard Working mode;;1.0;0.0;;4
36;4;3041;U16;;Inverter temperature;;0.1;0.0;Deg.Celsius;4
37;4;3042;U16;;Grid Frequency;;0.01;0.0;Hz;4
38;4;3043;U16;;Inverter status;;1.0;0.0;;8
39;4;3044;I32;;Limit active power adjustement rated power output value;;1.0;0.0;W;4
40;4;3046;I32;;Limit reactive power adjustment rated power output value;;1.0;0.0;Var;4
41;4;3048;U16;;Inverter control word;;1.0;0.0;;4
42;4;3049;U16;;Actual value of limited Active power;;1.0;0.0;%;4
