modbusRTU;Meter;BENDER;ISOMETER;;;;;;;
1;3;1296_20;STRING;;Device Name  ;;1;0;;4
2;3;1306;U16;;D-No. Software MU;;1;0;;4
3;3;1307;U16;;Software-version MU;;1;0;;4
4;3;1308;I16;;Build-No. MU ;;1;0;;4
5;3;1309;U16;;D-No. Software IU;;1;0;;4
6;3;1310;U16;;Software-version IU;;1;0;;4
7;3;1311;I16;;Build-No. IU;;1;0;;4
8;3;8192;F32;;Insulation resistance;;1;0;Ohm;4
9;3;8194;F32;;Leakage capacity;;1;0;Farad;4
10;3;8196;U16;;Prewarning (Insulation resistance);;1;0;;4
11;3;8197;U16;;Alarm (Insulation resistance);;1;0;;4
12;3;8198;I16;;net voltage;;1;0;V;4
13;3;8199;I16;;Voltage U+/Earth;;1;0;V;4
14;3;8200;I16;;Voltage U-/Earth;;1;0;V;4
15;3;8201;I16;;System Frequency;;0.01;0;mHz;4
16;3;8202;I16;;PGH current;;1;0;mA;4
17;3;8203;I16;;Temperature coupling L+;;1;0;Deg.Celsius;4
18;3;8204;I16;;Temperature coupling L-;;1;0;Deg.Celsius;4
19;3;8205;I16;;Temperature PGH;;1;0;Deg.Celsius;4
20;3;8206;I16;;Alarm Overtemperature coupling L+;;1;0;;4
21;3;8207;I16;;Alarm Overtemperature coupling L-;;1;0;;4
22;3;8208;I16;;Alarm Overtemperature PGH;;1;0;;4
23;3;8209;I16;;Connection Earth (E/KE);;1;0;;4
24;3;8210;I16;;Connection System (L1/+, L2/-);;1;0;;4
25;3;8211;I16;;Device error;;1;0;;4
26;3;8212;I16;;Status Test;;1;0;;4
