ModbusRTU;Inverter;CEFEM;TrioSun,TrioTop;1;;;;;;
1;3;0;U16;;Fabrication number Low;;1;0;;4
2;3;1;U16;;Order number;;1;0;;4
3;3;2;U16;;Model                   ;;1;0;;4
4;3;3;U16;;Software version DC1;;1;0;;4
5;3;4;U16;;Software version DC2;;1;0;;4
6;3;5;U16;;Software version Inv                ;;1;0;;4
7;3;6;U16;;Software version IHM               ;;1;0;;4
8;3;7;U16;;Status Register         ;;1;0;;4
9;3;8;U16;;Fault Register 1;;1;0;;8
10;3;9;U16;;Voltage DC1                  ;;1;0;V;4
11;3;10;U16;;Power DC1          ;;1;0;W;4
12;3;11;U16;;Voltage DC2                  ;;1;0;V;4
13;3;12;U16;;Power DC2                  ;;1;0;W;4
14;3;13;U16;;Voltage PhaseA               ;;1;0;V;4
15;3;14;U16;;Voltage PhaseB               ;;1;0;V;4
16;3;15;U16;;Voltage PhaseC               ;;1;0;V;4
17;3;16;U16;;PowerFactor;;1;0;;4
18;3;17;U16;;Output Power;;1;0;W;4
19;3;18;U16;;Daily Production;;2;0;Wh;4
20;3;19_0_4;BITS;;Seconds units;;1;0;s;4
21;3;19_4_4;BITS;;Seconds tens;;1;0;s;4
22;3;19_8_4;BITS;;minutes units;;1;0;min;4
23;3;19_12_4;BITS;;minutes tens;;1;0;min;4
24;3;20_0_4;BITS;;Hours units;;1;0;h;4
25;3;20_4_4;BITS;;Hours tens;;1;0;h;4
26;3;20_8_4;BITS;;Day of week       ;;1;0;;4
27;3;21_0_4;BITS;;Day of month units;;1;0;;4
28;3;21_4_4;BITS;;Day of month tens;;1;0;;4
29;3;21_8_4;BITS;;Month units;;1;0;;4
30;3;21_12_4;BITS;;Month tens;;1;0;;4
31;3;22_0_4;BITS;;Year units;;1;0;;4
32;3;22_4_4;BITS;;Year tens;;1;0;;4
33;3;23_0;U8;;Temp Ambiante;;1;0;C;4
34;3;23_1;U8;;Temp DC1;;1;0;C;4
35;3;24_0;U8;;Temp DC2;;1;0;C;4
36;3;24_1;U8;;Temp INV     ;;1;0;C;4
37;3;25;U16;;Analog Input 1          ;;1;0;;4
38;3;26;U16;;Analog Input 2           ;;1;0;;4
39;3;27;U16;;Fault Register2         ;;1;0;;8
40;3;28;U32;;Daily production;;1;0;Wh;4
41;3;30;U16;;Fabrication number High;;1;0;;4
42;3;31;U32;;PowerLimit ;cmdPwrWatt;1;0;W;4
44;3;33;U32;;External Total Prod;;1;0;;4
46;3;35;U16;;Seconds;;1;0;;4
47;3;36;U16;;Minutes;;1;0;;4
48;3;37;U16;;Hour;;1;0;;4
49;3;38;U16;;Day of the week;;1;0;;4
50;3;39;U16;;Day of the month;;1;0;;4
51;3;40;U16;;Month;;1;0;;4
52;3;41;U16;;Year;;1;0;;4
53;3;42;U16;;Boot Version HMI card;;1;0;;4
54;3;43;U16;;Boot Version Inverter;;1;0;;4
55;3;44;U16;;Boot Version SBP (DC DC);;1;0;;4
56;3;45;U16;;Boot Version Switch;;1;0;;4
57;3;46;U16;;Voltage DC3;;1;0;V;4
58;3;47;U16;;Power DC3;;1;0;W;4
59;3;48;U16;;Voltage DC4;;1;0;V;4
60;3;49;U16;;Power DC4;;1;0;W;4
61;3;50;U16;;Isolation resistance 1;;1;0;KOhm;4
62;3;51;U16;;Isolation resistance 2;;1;0;KOhm;4
63;3;52;U16;;Isolation resistance 3;;1;0;KOhm;4
64;3;53;U16;;Isolation resistance 4;;1;0;KOhm;4
65;3;54;U16;;Status Switch;;1;0;;4
67;3;55;U16;;Power Limitation Percentage;cmdPwrPercent;0.1;0;%;4
68;3;56;U16;;Nominal Power Inverter;NominalPower;1;0;W;4
69;3;58;U16;;INV Temperature;;1;0;C;4
70;3;59;U16;;DC DC Temperature;;1;0;C;4
71;3;60;U16;;GUI Temperature;;1;0;C;4
