ModbusRTU;Meter;Carlo Gavazzi;EM210;;;;;;;
1;3;1;I32;;volt1;;0.1;0.0;V;4
2;3;3;I32;;volt2;;0.1;0.0;V;4
3;3;5;I32;;volt3;;0.1;0.0;V;4
4;3;13;I32;;current1;;0.001;0.0;A;4
5;3;15;I32;;current2;;0.001;0.0;A;4
6;3;17;I32;;current3;;0.001;0.0;A;4
7;3;19;I32;;power1;ActivePow1kW;0.1;0.0;W;4
8;3;21;I32;;power2;ActivePow2kW;0.1;0.0;W;4
9;3;23;I32;;power3;ActivePow3kW;0.1;0.0;W;4
10;3;25;I32;;apparent_power1;;0.1;0.0;VA;4
11;3;27;I32;;apparent_power2;;0.1;0.0;VA;4
12;3;29;I32;;apparent_power3;;0.1;0.0;VA;4
13;3;31;I32;;reactive_power1;;0.1;0.0;VAR;4
14;3;33;I32;;reactive_power2;;0.1;0.0;VAR;4
15;3;35;I32;;reactive_power3;;0.1;0.0;VAR;4
16;3;37;I32;;volt;;0.1;0.0;V;4
17;3;39;I32;;V l-l;;0.1;0.0;V;4
18;3;41;I32;;power;ActivePowSumkW;0.1;0.0;W;4
19;3;43;I32;;apparent_power;;0.1;0.0;VA;4
20;3;45;I32;;reactive_power;;0.1;0.0;VAR;4
21;3;47;I16;;Pf l1;;0.001;0.0;;4
22;3;48;I16;;Pf l2;;0.001;0.0;;4
23;3;49;I16;;Pf l3;;0.001;0.0;;4
24;3;50;I16;;Pf;;0.001;0.0;;4
25;3;51;I16;;Phase sequence;;0.001;0.0;;4
26;3;52;I16;;frequency;;1.0;0.0;Hz;4
27;3;53;I32_W;;energy_tot;;0.1;0.0;kWh;4
28;3;55;I32;;reactive_energy_tot;;0.1;0.0;kvarh;4
29;3;79;I32;;kWh(-) TOT;;0.1;0.0;kWh;4
30;3;91;I32;;Hour counter meter;;0.01;0;Hours;4
31;3;93;I32;;Hour counter meter neg;;0.01;0;Hours;4
32;3;131;I32;;THD(15h) A L1;;0.01;0;Percent;4
33;3;133;I32;;THD(15h) A L2;;0.01;0;Percent;4
34;3;135;I32;;THD(15h) A L3;;0.01;0;Percent;4
35;3;139;I32;;THD(15h) V1-N;;0.01;0;Percent;4
36;3;141;I32;;THD(15h) V2-N;;0.01;0;Percent;4
37;3;143;I32;;THD(15h) V3-N;;0.01;0;Percent;4
38;3;147;I32;;THD(15h) V12;;0.01;0;Percent;4
39;3;149;I32;;THD(15h) V23;;0.01;0;Percent;4
40;3;151;I32;;THD(15h) V31;;0.01;0;Percent;4
41;3;153;I32;;Neutral current (In);;0.001;0;A;4
42;3;247;I32;;Hour counter meter neg_1;;0.01;0;Hours;4
43;3;249;I32;;Neutral current (In)_1;;0.001;0;A;4
44;3;255;I32;;Hour counter meter_1;;0.01;0;Hours;4
45;3;259;I32;;V L-N sum;;0.1;0.0;V;4
46;3;261;I32;;V L-L sum;;0.1;0.0;V;4
47;3;263;I32;;W sum;;0.1;0.0;W;4
48;3;265;I32;;VA sum;;0.1;0.0;VA;4
49;3;267;I32;;VAR sum;;0.1;0.0;VAR;4
50;3;269;I32;;PF sum;;0.001;0;;4
51;3;271;I32;;Phase sequence_1;;1;0;;4
52;3;273;I32;;Hz;;1;0;Hz;4
53;3;275;I32;;kWh(+) TOT;;0.1;0;kWh;4
