ModbusRTU;Meter;Carlo Gavazzi;EM300-ET300;;;;;;;
1;3;0;I32;;V L1-N ;;0.1;0.0;V;4
2;3;2;I32;;V L2-N ;;0.1;0.0;V;4
3;3;4;I32;;V L3-N ;;0.1;0.0;V;4
4;3;6;I32;;V L1-L2 ;;0.1;0.0;V;4
5;3;8;I32;;V L2-L3 ;;0.1;0.0;V;4
6;3;10;I32;;V L3-L1 ;;0.1;0.0;V;4
7;3;12;I32;;A L1;;0.001;0.0;A;4
8;3;14;I32;;A L2 ;;0.001;0.0;A;4
9;3;16;I32;;A L3 ;;0.001;0.0;A;4
10;3;18;I32;;kW L1;;0.1;0.0;W;4
11;3;20;I32;;kW L2;;0.1;0.0;W;4
12;3;22;I32;;kW L3;;0.1;0.0;W;4
13;3;24;I32;;kVA L1;;0.1;0.0;VA;4
14;3;26;I32;;kVA L2;;0.1;0.0;VA;4
15;3;28;I32;;kVA L3;;0.1;0.0;W;4
16;3;30;I32;;kvar L1;;0.1;0.0;var;4
17;3;32;I32;;kvar L2;;0.1;0.0;var;4
18;3;34;I32;;kvar L3;;0.1;0.0;var;4
19;3;36;I32;;V L-N sys;;0.1;0.0;V;4
20;3;38;I32;;V L-L sys;;0.1;0.0;V;4
21;3;40;I32;;kW sys ;;0.1;0.0;W;4
22;3;42;I32;;kVA sys ;;0.1;0.0;VA;4
23;3;44;I32;;kvar sys;;0.1;0.0;var;4
24;3;46;I16;;PF L1;;0.1;0.0;F;4
25;3;47;I16;;PF L2;;0.1;0.0;F;4
26;3;48;I16;;PF L3;;0.1;0.0;F;4
27;3;49;I16;;PF sys;;0.1;0.0;F;4
28;3;50;I16;;Phase sequence;;1;0.0;phase;4
29;3;51;I16;;Hz;;0.1;0.0;Hz;4
30;3;52;I32;;kWh (+) TOT;;0.1;0.0;KWh;4
31;3;54;I32;;Kvarh (+) TOT;;0.1;0.0;Kvarh;4
32;3;56;I32;;kW dmd;;0.1;0.0;W;4
33;3;58;I32;;kW dmd peak;;0.1;0.0;Kw;4
34;3;60;I32;;kWh (+) PARTIAL;;0.1;0.0;Kwh;4
35;3;62;I32;;Kvarh (+) PARTIAL;;0.1;0.0;Kvarh;4
36;3;64;I32;;kWh (+) L1;;0.1;0.0;Kwh;4
37;3;66;I32;;kWh (+) L2;;0.1;0.0;Kwh;4
38;3;68;I32;;kWh (+) L3;;0.1;0.0;Kwh;4
39;3;70;I32;;kWh (+) t1;;0.1;0.0;Kwh;4
40;3;72;I32;;kWh (+) t2;;0.1;0.0;Kwh;4
41;3;74;I32;;kWh (+) t3;;0.1;0.0;Kwh;0
42;3;76;I32;;kWh (+) t4;;0.1;0.0;Kwh;0
43;3;78;I32;;kWh (-) TOT;;0.1;0.0;Kwh;4
44;3;80;I32;;kvarh (-) TOT;;0.1;0.0;Kvarh;4
45;3;82;I32;;kWh (-) PARTIAL;;1;0.0;Kwh;0
46;3;84;I32;;Kvarh (-) PARTIAL;;1;0.0;Kvarh;0
47;3;86;I32;;kVAh TOT;;1;0.0;VAh;0
48;3;88;I32;;kVAh PARTIAL;;1;0.0;VAh;0
49;3;90;I32;;An;;1;0.0;An;4
50;3;90;I32;;Hour meter;;1;0.0;hour;4
51;3;92;I32;;Hour meter kWh (-);;1;0.0;Hour;0
52;3;94;I32;;n.a.;;1;0.0;N;0
53;3;96;I32;;kWh (-) L1;;0.1;0.0;Kwh;4
54;3;98;I32;;kWh (-) L2;;0.1;0.0;Kwh;4
55;3;100;I32;;kWh (-) L3;;0.1;0.0;Kwh;4
56;3;102;I32;;kWh (+) t5;;1;0.0;Kwh;0
57;3;104;I32;;kWh (+) t6;;1;0.0;Kwh;0
58;3;106;I32;;kWh (+) t7;;1;0.0;Kwh;0
59;3;108;I32;;kWh (+) t8;;1;0.0;Kwh;0
60;3;110;I32;;n.a.;;1;0.0;N;0
61;3;112;I32;;n.a.;;1;0.0;N;0
62;3;114;I32;;n.a.;;1;0.0;N;0
63;3;116;I32;;n.a.;;1;0.0;N;0
64;3;118;I32;;n.a.;;1;0.0;N;0
65;3;120;I32;;n.a.;;1;0.0;N;0
66;3;122;I32;;n.a.;;1;0.0;N;0
67;3;124;I32;;n.a.;;1;0.0;N;4
