modbusRTU;Meter;CHAUVIN-ARNOUX;Ulys TT-M;;;;;;;
1;3;1336;U16;;RegisterSetType;;1.000000;0.000000;;4
2;3;0;U32;;Vphase1;tagVphase1;0.001000;0.000000;;4
3;3;2;U32;;Vphase2;;0.001000;0.000000;;4
4;3;4;U32;;Vphase3;;0.001000;0.000000;;4
5;3;6;U32;;Vphase12;;0.001000;0.000000;;4
6;3;8;U32;;Vphase23;;0.001000;0.000000;;4
7;3;10;U32;;Vphase31;;0.001000;0.000000;;4
8;3;4128;F32;;PwrPhase1;;1.0000000;0.000000;W;4
9;3;4130;F32;;PwrPhase2;;1.000000;0.000000;W;4
10;3;4132;F32;;PwrPhase3;;1.000000;0.000000;W;4
11;3;4134;F32;;PwrTotal;totalPwrKWatt;1.000000;0.000000;W;4
12;3;4352;F32;;KwhImpPh1;tagMeterConsoPh1Prod;1.000000;0.000000;Wh;4
13;3;4354;F32;;KwhImpPh2;;1.000000;0.000000;Wh;4
14;3;4356;F32;;KwhImpPh3;;1.000000;0.000000;Wh;4
15;3;4358;F32;;KwhImpTot;tagMeterConsoTotalProd;1.000000;0.000000;Wh;4
16;3;4360;F32;;KwhExpPh1;;1.000000;0.000000;Wh;4
17;3;4362;F32;;KwhExpPh2;;1.000000;0.000000;Wh;4
18;3;4364;F32;;KwhExpPh3;;1.000000;0.000000;Wh;4
19;3;4366;F32;;KwhExpTot;;1.000000;0.000000;Wh;4
