modbusRTU;meter;CIRCUTOR;CVME3MINI;;;;;;;
1;3;4096;I32;;volt1;;0.100000;0.000000;;4
2;3;4098;I32;;current1;;0.001000;0.000000;;4
3;3;4100;I32;;power1;;1.000000;0.000000;;4
4;3;4110;I32;;CosPhi1;;0.010000;0.000000;;4
5;3;4112;I32;;volt2;;0.100000;0.000000;;4
6;3;4114;I32;;current2;;0.001000;0.000000;;4
7;3;4116;I32;;power2;;1.000000;0.000000;;4
8;3;4126;I32;;CosPhi2;;0.010000;0.000000;;4
9;3;4128;I32;;volt3;;0.100000;0.000000;;4
10;3;4130;I32;;current3;;0.001000;0.000000;;4
11;3;4132;I32;;power3;;1.000000;0.000000;;4
12;3;4142;I32;;CosPhi3;;0.010000;0.000000;;4
13;3;4144;I32;;power;totalPwrkWatt;1.000000;0.000000;W;4
14;3;4154;I32;;CosPhi;;0.010000;0.000000;;4
15;3;4156;I32;;frequency;;0.010000;0.000000;;4
16;3;4316;I32;;energy_in_kWh;;1.000000;0.000000;;4
17;3;4318;I32;;energy_in_Wh;;1.000000;0.000000;;4
18;3;4336;I32;;energy_out_kWh;;1.000000;0.000000;;4
19;3;4338;I32;;energy_out_Wh;;1.000000;0.000000;;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;; ;;;;;;;
