modbusRTU;meter;CIRCUTOR;CVME3MINI;;;;;;;
1;3;0;I32;;volt1;;0.100000;0.000000;;4
2;3;2;I32;;current1;;0.001000;0.000000;;4
3;3;4;I32;;power1;;1.000000;0.000000;;4
4;3;10;I32;;volt2;;0.100000;0.000000;;4
5;3;12;I32;;current2;;0.001000;0.000000;;4
6;3;14;I32;;power2;;1.000000;0.000000;;4
7;3;20;I32;;volt3;;0.100000;0.000000;;4
8;3;22;I32;;current3;;0.001000;0.000000;;4
9;3;24;I32;;power3;;1.000000;0.000000;;4
10;3;30;I32;;power;totalPwrkWatt;10.000000;0.000000;W;4
11;3;40;I32;;frequency;;0.010000;0.000000;;4
12;3;60;I32;;energy;;1.000000;0.000000;;4
13;3;60;I32;;energy_out;;1.000000;0.000000;;4
14;3;5184;I32;;energy_tot1;;1.000000;0.000000;;4
15;3;5280;I32;;energy_tot2;;1.000000;0.000000;;4
16;3;5376;I32;;energy_tot3;;1.000000;0.000000;;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;; ;;;;;;;
