ModbusRTU;Inverter;Delta;M88H;;;;;;;
1;3;40000_2;STRING;;SunS;;1.0;0.0;;1
2;3;40002;U16;;Common_ID;;1.0;0.0;;4
3;3;40003;U16;;Common_L;;1.0;0.0;;4
4;3;40004_16;STRING;;Manufacturer;;1.0;0.0;;4
5;3;40020_16;STRING;;Model;;1.0;0.0;;4
6;3;40036_8;STRING;;Options;;1.0;0.0;;0
7;3;40044_8;STRING;;Version;;1.0;0.0;;4
8;3;40052_16;STRING;;Serial Number;;1.0;0.0;;4
9;3;40068;U16;;Device Address;;1.0;0.0;;4
10;3;40069;U16;;pad;;1.0;0.0;;4
11;3;40070;U16;;ID;;1.0;0.0;;4
12;3;40071;U16;;L;;1.0;0.0;;4
13;3;40072;U16;;A;;1.0;0.0;A;0
14;3;40073;U16;;AphA;;0.01;0.0;A;4
15;3;40074;U16;;AphB;;0.01;0.0;A;4
16;3;40075;U16;;AphC;;0.01;0.0;A;4
17;3;40076;I16;;A_SF;;1.0;0.0;;4
18;3;40077;U16;;PPVphAB;;1.0;0.0;V;0
19;3;40078;U16;;PPVphBC;;1.0;0.0;V;0
20;3;40079;U16;;PPVphCA;;1.0;0.0;V;0
21;3;40080;U16;;PhVphA;;0.1;0.0;V;4
22;3;40081;U16;;PhVphB;;0.1;0.0;V;4
23;3;40082;U16;;PhVphC;;0.1;0.0;V;4
24;3;40083;I16;;V_SF;;1.0;0.0;;4
25;3;40084;I16;;W;;10.0;0.0;W;4
26;3;40085;I16;;W_SF;;1.0;0.0;;4
27;3;40086;U16;;Hz;;0.01;0.0;Hz;4
28;3;40087;I16;;Hz_SF;;1.0;0.0;;4
29;3;40088;I16;;VA;;10.0;0.0;VA;4
30;3;40089;I16;;VA_SF;;1.0;0.0;;4
31;3;40090;I16;;VAr;;10.0;0.0;var;4
32;3;40091;I16;;VAr_SF;;1.0;0.0;;4
33;3;40092;I16;;PF;;0.01;0.0;Pct;4
34;3;40093;I16;;PF_SF;;1.0;0.0;;4
35;3;40094;I32;;WH;;0.01;0.0;kWh;4
36;3;40096;I16;;WH_SF;;1.0;0.0;;4
37;3;40097;U16;;DCA;;1.0;0.0;A;0
38;3;40098;I16;;DCA_SF;;1.0;0.0;;0
39;3;40099;U16;;DCV;;1.0;0.0;V;0
40;3;40100;I16;;DCV_SF;;1.0;0.0;;0
41;3;40101;I16;;DCW;;1.0;0.0;W;0
42;3;40102;I16;;DCW_SF;;1.0;0.0;;0
43;3;40103;I16;;TmpCab;;1.0;0.0;C;4
44;3;40104;I16;;TmpSnk;;1.0;0.0;C;4
45;3;40105;I16;;TmpTrns;;1.0;0.0;C;0
46;3;40106;I16;;TmpOt;;1.0;0.0;C;0
47;3;40107;I16;;Tmp_SF;;1.0;0.0;;0
48;3;40108;U16;;St;;1.0;0.0;;8
49;3;40109;U16;;StVnd;;1.0;0.0;;0
50;3;40110;U32;;Evt1;;1.0;0.0;;4
51;3;40112;U32;;Evt2;;1.0;0.0;;0
52;3;40114;U32;;EvtVnd1;;1.0;0.0;;4
53;3;40116;U32;;EvtVnd2;;1.0;0.0;;0
54;3;40118;U32;;EvtVnd3;;1.0;0.0;;0
55;3;40120;U32;;EvtVnd4;;1.0;0.0;;0
56;3;40122;U16;;ID;;1.0;0.0;;4
57;3;40123;U16;;L;;1.0;0.0;;4
58;3;40124;U16;;DERTyp;;1.0;0.0;;4
59;3;40125;U16;;WRtg;;1.0;0.0;W;4
60;3;40126;I16;;WRtg_SF;;1.0;0.0;;4
61;3;40127;U16;;VARtg;;1.0;0.0;VA;4
62;3;40128;I16;;VARtg_SF;;1.0;0.0;;4
63;3;40129;I16;;VArRtgQ1;;1.0;0.0;var;0
64;3;40130;I16;;VArRtgQ2;;1.0;0.0;var;4
65;3;40131;I16;;VArRtgQ3;;1.0;0.0;var;4
66;3;40132;I16;;VArRtgQ4;;1.0;0.0;var;0
67;3;40133;I16;;VArRtg_SF;;1.0;0.0;;4
68;3;40134;U16;;ARtg;;1.0;0.0;A;4
69;3;40135;I16;;ARtg_SF;;1.0;0.0;;4
70;3;40136;I16;;PFRtgQ1;;1.0;0.0;cos();0
71;3;40137;I16;;PFRtgQ2;;1.0;0.0;cos();4
72;3;40138;I16;;PFRtgQ3;;1.0;0.0;cos();4
73;3;40139;I16;;PFRtgQ4;;1.0;0.0;cos();0
74;3;40140;I16;;PFRtg_SF;;1.0;0.0;;4
75;3;40141;U16;;WHRtg;;1.0;0.0;Wh;0
76;3;40142;I16;;WHRtg_SF;;1.0;0.0;;0
77;3;40143;U16;;AhrRtg;;1.0;0.0;AH;0
78;3;40144;I16;;AhrRtg_SF;;1.0;0.0;;0
79;3;40145;U16;;MaxChaRte;;1.0;0.0;W;0
80;3;40146;I16;;MaxChaRte_SF;;1.0;0.0;;0
81;3;40147;U16;;MaxDisChaRte;;1.0;0.0;W;0
82;3;40148;I16;;MaxDisChaRte_SF;;1.0;0.0;;0
83;3;40149;U16;;Pad;;1.0;0.0;;4
84;3;40150;U16;;ID;;1.0;0.0;;4
85;3;40151;U16;;L;;1.0;0.0;;4
86;3;40152;U16;;WMax;;1.0;0.0;W;4
87;3;40153;U16;;VRef;;1.0;0.0;V;4
88;3;40154;I16;;VRefOfs;;1.0;0.0;V;0
89;3;40155;U16;;VMax;;1.0;0.0;V;0
90;3;40156;U16;;VMin;;1.0;0.0;V;0
91;3;40157;U16;;VAMax;;1.0;0.0;VA;0
92;3;40158;I16;;VArMaxQ1;;1.0;0.0;var;0
93;3;40159;I16;;VArMaxQ2;;1.0;0.0;var;0
94;3;40160;I16;;VArMaxQ3;;1.0;0.0;var;0
95;3;40161;I16;;VArMaxQ4;;1.0;0.0;var;0
96;3;40162;U16;;WGra;;1.0;0.0;% WMax/min;4
97;3;40163;I16;;PFMinQ1;;1.0;0.0;cos();0
98;3;40164;I16;;PFMinQ2;;1.0;0.0;cos();0
99;3;40165;I16;;PFMinQ3;;1.0;0.0;cos();0
100;3;40166;I16;;PFMinQ4;;1.0;0.0;cos();0
101;3;40167;U16;;VArAct;;1.0;0.0;;0
102;3;40168;U16;;ClcTotVA;;1.0;0.0;;0
103;3;40169;U16;;MaxRmpRte;;1.0;0.0;% WGra;0
104;3;40170;U16;;ECPNomHz;;1.0;0.0;Hz;0
105;3;40171;U16;;ConnPh;;1.0;0.0;;0
106;3;40172;I16;;WMax_SF;;1.0;0.0;;4
107;3;40173;I16;;VRef_SF;;1.0;0.0;;4
108;3;40174;I16;;VRefOfs_SF;;1.0;0.0;;0
109;3;40175;I16;;VMinMax_SF;;1.0;0.0;;0
110;3;40176;I16;;VAMax_SF;;1.0;0.0;;0
111;3;40177;I16;;VArMax_SF;;1.0;0.0;;0
112;3;40178;I16;;WGra_SF;;1.0;0.0;;4
113;3;40179;I16;;PFMin_SF;;1.0;0.0;;0
114;3;40180;I16;;MaxRmpRte_SF;;1.0;0.0;;0
115;3;40181;I16;;ECPNomHz_SF;;1.0;0.0;;0
116;3;40182;U16;;ID;;1.0;0.0;;4
117;3;40183;U16;;L;;1.0;0.0;;4
118;3;40184;U16;;PVConn;;1.0;0.0;;4
119;3;40185;U16;;StorConn;;1.0;0.0;;0
120;3;40186;U16;;ECPConn;;1.0;0.0;;0
121;3;40187;U64;;ActWh;;1.0;0.0;Wh;0
122;3;40191;U64;;ActVAh;;1.0;0.0;VAh;0
123;3;40195;U64;;ActVArhQ1;;1.0;0.0;varh;0
124;3;40199;U64;;ActVArhQ2;;1.0;0.0;varh;0
125;3;40203;U64;;ActVArhQ3;;1.0;0.0;varh;0
126;3;40207;U64;;ActVArhQ4;;1.0;0.0;varh;0
127;3;40211;I16;;VArAval;;1.0;0.0;var;0
128;3;40212;I16;;VArAval_SF;;1.0;0.0;;0
129;3;40213;U16;;WAval;;1.0;0.0;var;0
130;3;40214;I16;;WAval_SF;;1.0;0.0;;0
131;3;40215;U32;;StSetLimMsk;;1.0;0.0;;0
132;3;40217;U32;;StActCtl;;1.0;0.0;;4
133;3;40219_4;STRING;;TmSrc;;1.0;0.0;;0
134;3;40223;U32;;Tms;;1.0;0.0;Secs;0
135;3;40225;U16;;RtSt;;1.0;0.0;;0
136;3;40226;U16;;Ris;;1.0;0.0;ohms;4
137;3;40227;I16;;Ris_SF;;1.0;0.0;;4
