modbusRTU;meter;EDMI;Mk6;;;;;;;
1;3;73;F32;; Im BT Total kWh;;1;0;kWh;4
2;3;96;U16;; Total Wh T1;;1;0;Wh;4
3;3;97;U16;; Total Wh T2;;1;0;Wh;4
4;3;98;U16;; Total Wh T3;;1;0;Wh;4
5;3;105;F32;; Total Im Wh TU;;1;0;Wh;4
6;3;329;F32;; Im BT Total kVarh;;1;0;kVarh;4
7;3;352;U16;; Curr VAR Hour T1;;1;0;VAR/hour;4
8;3;353;U16;; Curr VAR Hour T2;;1;0;VAR/hour;4
9;3;354;U16;; Curr VAR Hour T3;;1;0;VAR/hour;4
10;3;361;F32;; Total Im varh TU;;1;0;varH;4
11;3;585;F32;; Ex BT Total Kwh;;1;0;kWh;4
12;3;608;U16;; Ex kWh Rate A;;1;0;kWh;4
13;3;609;U16;; Ex kWh Rate B;;1;0;kWh;4
14;3;610;U16;; Ex kWh Rate C;;1;0;kWh;4
15;3;617;F32;; Total Ex Wh TU;;1;0;Wh;4
16;3;841;F32;; Ex BT Total kVarh;;1;0;kVarh;4
17;3;864;U16;; Ex kVarh Rate A;;1;0;kVarh;4
18;3;865;U16;; Ex kVarh Rate B;;1;0;kVarh;4
19;3;866;U16;; Ex kVarh Rate C;;1;0;kVarh;4
20;3;873;F32;; Total Ex varh TU;;1;0;varh;4
21;3;4096;U16;; MD Watt T1;;1;0;W;4
22;3;4097;U16;; MD Watt T2;;1;0;W;4
23;3;4098;U16;; MD Watt T3;;1;0;W;4
24;3;4105;F32;; Curr Im MD W TU;;1;0;W;4
25;3;4352;U16;; Curr MD VAR T1;;1;0;VAR;4
26;3;4353;U16;; Curr MD VAR T2;;1;0;VAR;4
27;3;4354;U16;; Curr MD VAR T3;;1;0;VAR;4
28;3;4361;F32;; Curr Im MD var TU;;1;0;var;4
29;3;4617;F32;; Curr Ex MD W TU;;1;0;W;4
30;3;4873;F32;; Curr Ex MD var TU;;1;0;var;4
31;3;32768;U16;; MD Watt Time T1;;1;0;W;4
32;3;32769;U16;; MD Watt Time T2;;1;0;W;4
33;3;32770;U16;; MD Watt Time T3;;1;0;W;4
34;3;32777;F32;; Time Im MD W TU;;1;0;W;4
35;3;33024;U16;; MD VAR Time T1;;1;0;VAR;4
36;3;33025;U16;; MD VAR Time T2;;1;0;VAR;4
37;3;33026;U16;; MD VAR Time T3;;1;0;VAR;4
38;3;33033;F32;; Time Im MD var TU;;1;0;var;4
39;3;33289;F32;; Time Ex MD W TU;;1;0;W;4
40;3;33545;F32;; Time Ex MD var TU;;1;0;var;4
41;3;57344;U16;; Ph A Volt;;1;0;V;4
42;3;57345;U16;; Ph B Volt;;1;0;V;4
43;3;57346;U16;; Ph C Volt;;1;0;V;4
44;3;57360;U16;; Ph A Curr;;1;0;A;4
45;3;57361;U16;; Ph B Curr;;1;0;A;4
46;3;57362;U16;; Ph C Curr;;1;0;A;4
47;3;57376;U16;; Phase Angle A;;1;0;;4
48;3;57377;U16;; Phase Angle B;;1;0;;4
49;3;57378;U16;; Phase Angle C;;1;0;;4
50;3;57382;F32;; Power Factor;;1;0;;4
51;3;57392;U16;; Ph  A Watts;;1;0;W;4
52;3;57393;U16;; Ph  B Watts;;1;0;W;4
53;3;57394;U16;; Ph  C Watts;;1;0;W;4
54;3;57395;F32;; Inst kW;;1;0;kW;4
55;3;57408;U16;; Ph  A Var;;1;0;Var;4
56;3;57409;U16;; Ph  B Var;;1;0;Var;4
57;3;57410;U16;; Ph C Var;;1;0;Var;4
58;3;57411;U16;; Inst kvar;;1;0;kvar;4
59;3;57440;F32;; Frequency;;1;0;Hz;4
