modbusRTU;sensor;EKO;MS80;;;;;;;
1;3;0;U16;;Model ;;;;;4
2;3;2;F32;;Comp.Irr ;;1;0;W/m²;4
3;3;14;F32;;X-axis tilt angle;;1;0;degree;4
4;3;16;F32;;Y-axis tilt angle;;1;0;degree;4
5;3;18;F32;;Raw.Irr ;;1;0;W/m²;4
6;3;20;F32;;ADmV;;1;0;mV;4
7;3;22;F32;;Internal temperature;;1;0;C;4
8;3;24;F32;;Internal humidity;;1;0;RH%;4
9;3;96_4;STRING;;EKO;;1;0;;4
10;3;98;U16;;Firmware version;;1;0;;4
11;3;99;U16;;Hardware version;;1;0;;4
12;3;100;U16;;Model;;1;0;;4
13;3;101;U16;;Modbus Address;;1;0;;4
14;3;102;U16;;Serial  communication setting;;1;0;;4
15;3;103;U16;;Register Type;;1;0;;4
16;3;106;U16;;Setting  the  analog outputs;;1;0;;4
17;3;131;F32;;0-1V loading resistor;;1;0;Ohm;4
18;3;133;F32;;Irradiance (0-1Vmode 0V);;1;0;W/m 2;4
19;3;135;F32;;Irradiance (0-1Vmode 1V);;1;0;W/m 2;4
20;3;137;F32;;Irradiance (4-20mode 4mA);;1;0;W/m 2;4
21;3;139;F32;;Irradiance (4-20mode 20mA);;1;0;W/m 2;4
22;3;162;U32;;Date of manufacture ;;1;0;;4
23;3;164;U32;;Serial number ;;1;0;;4
24;3;166_15;String;;Sensor name;;1;0;;4
25;3;182;F32;;L.Coeff.k1;;1;0;;4
26;3;184;F32;;L.Coeff.k2;;1;0;;4
27;3;186;F32;;L.Coeff.k3;;1;0;;4
28;3;188;F32;;L.Coeff.k4;;1;0;;4
29;3;190;U32;;Cal.Date;;1;0;;4
30;3;192;F32;;Cal.Value;;1;0;V/W*m-2;4
31;3;200;U32;;Cal.Date history0;;1;0;;4
32;3;202;F32;;Cal.Value history0;;1;0;;4
33;3;204;U32;;Cal.Date history1;;1;0;;4
34;3;206;F32;;Cal.Value history1;;1;0;;4
35;3;208;U32;;Cal.Date history2;;1;0;;4
36;3;210;F32;;Cal.Value history2;;1;0;;4
37;3;212;U32;;Cal.Date history3;;1;0;;4
38;3;214;F32;;Cal.Value history3;;1;0;;4
39;3;216;U32;;Cal.Date history4;;1;0;;4
40;3;218;F32;;Cal.Value history4;;1;0;;4
