ModbusRTU;Meter;EASTRON;X96-5E;1;;;;;;
1;4;30001;F32;;Phase 1 line to neutral volts;;1.0;0.0;V;4
2;4;30003;F32;;Phase 2 line to neutral volts;;1.0;0.0;V;4
3;4;30005;F32;;Phase 3 line to neutral volts;;1.0;0.0;V;4
4;4;30007;F32;;Phase 1 current;;1.0;0.0;A;4
5;4;30009;F32;;Phase 2 current;;1.0;0.0;A;4
6;4;30011;F32;;Phase 3 current;;1.0;0.0;A;4
7;4;30013;F32;;Phase 1 active power;;1.0;0.0;W;4
8;4;30015;F32;;Phase 2 active power;;1.0;0.0;W;4
9;4;30017;F32;;Phase 3 active power;;1.0;0.0;W;4
10;4;30019;F32;;Phase 1 apparent power;;1.0;0.0;VA;4
11;4;30021;F32;;Phase 2 apparent power;;1.0;0.0;VA;4
12;4;30023;F32;;Phase 3 apparent power;;1.0;0.0;VA;4
13;4;30025;F32;;Phase 1 reactive power;;1.0;0.0;VAr;4
14;4;30027;F32;;Phase 2 reactive power;;1.0;0.0;VAr;4
15;4;30029;F32;;Phase 3 reactive power;;1.0;0.0;VAr;4
16;4;30031;F32;;Phase 1 power factor (1);;1.0;0.0;;4
17;4;30033;F32;;Phase 2 power factor (1);;1.0;0.0;;4
18;4;30035;F32;;Phase 3 power factor (1);;1.0;0.0;;4
19;4;30037;F32;;Phase 1 phase angle;;1.0;0.0;Degrees;4
20;4;30039;F32;;Phase 2 phase angle;;1.0;0.0;Degrees;4
21;4;30041;F32;;Phase 3 phase angle;;1.0;0.0;Degrees;4
22;4;30043;F32;;Average line to neutral volts;;1.0;0.0;V;4
23;4;30047;F32;;Average line current;;1.0;0.0;A;4
24;4;30049;F32;;Sum of line currents;;1.0;0.0;A;4
25;4;30053;F32;;Total system power;;1.0;0.0;W;4
26;4;30057;F32;;Total system volt amps;;1.0;0.0;VA;4
27;4;30061;F32;;Total system VAr;;1.0;0.0;VAr;4
28;4;30063;F32;;Total system power factor (1);;1.0;0.0;;4
29;4;30067;F32;;Total system phase angle;;1.0;0.0;Degrees;4
30;4;30071;F32;;Frequency of supply voltages;;1.0;0.0;Hz;4
31;4;30073;F32;;Import Wh since last reset;;1.0;0.0;kWh;4
32;4;30075;F32;;Export Wh since last reset;;1.0;0.0;kWh;4
33;4;30077;F32;;Import VArh since last reset;;1.0;0.0;kVArh;4
34;4;30079;F32;;Export VArh since last reset;;1.0;0.0;kVArh;4
35;4;30081;F32;;VAh since last reset;;1.0;0.0;kVAh;4
36;4;30083;F32;;Ah since last reset;;1.0;0.0;Ah;4
37;4;30085;F32;;Total system power demand (2);;1.0;0.0;W;4
38;4;30087;F32;;Maximum total system power demand (2);;1.0;0.0;W;4
39;4;30089;F32;;Import active power demand;;1.0;0.0;W;4
40;4;30091;F32;;Import active power max. demand;;1.0;0.0;W;4
41;4;30093;F32;;Export active power demand;;1.0;0.0;W;4
42;4;30095;F32;;Export active power max. demand;;1.0;0.0;W;4
43;4;30101;F32;;Total system VA demand;;1.0;0.0;VA;4
44;4;30103;F32;;Maximum total system VA demand;;1.0;0.0;VA;4
45;4;30105;F32;;Neutral current demand;;1.0;0.0;Amps;4
46;4;30107;F32;;Maximum neutral current demand;;1.0;0.0;Amps;4
47;4;30109;F32;;Total system reactive power demand (2);;1.0;0.0;VAr;4
