ModbusTCP;Meter;ECO ADAPT;POWERELEC 6;;;;;;;
1;3;0;U16;;Software version;;1.0;0.0;;4
2;3;1;U16;;Modbus version;;1.0;0.0;;4
3;3;2;U16;;Adresse MAC_1;;1.0;0.0;;4
4;3;3;U16;;Adresse MAC_2;;1.0;0.0;;4
5;3;4;U16;;Adresse MAC_3;;1.0;0.0;;4
6;3;28;U32;;Index energie active import_1_0;;1.0;0.0;;4
7;3;30;U32;;Index energie active import_1_1;;1.0;0.0;;4
8;3;32;U32;;Index energie active import_1_2;;1.0;0.0;;4
9;3;34;U32;;Index energie active import_2_3;;1.0;0.0;;4
10;3;36;U32;;Index energie active import_2_4;;1.0;0.0;;4
11;3;38;U32;;Index energie active import_2_5;;1.0;0.0;;4
12;3;40;U32;;Index energie active import_3_6;;1.0;0.0;;4
13;3;42;U32;;Index energie active import_3_7;;1.0;0.0;;4
14;3;44;U32;;Index energie active import_3_8;;1.0;0.0;;4
15;3;46;U32;;Index energie active import_4_9;;1.0;0.0;;4
16;3;48;U32;;Index energie active import_4_10;;1.0;0.0;;4
17;3;50;U32;;Index energie active import_4_11;;1.0;0.0;;4
18;3;52;U32;;Index energie active import_5_12;;1.0;0.0;;4
19;3;54;U32;;Index energie active import_5_13;;1.0;0.0;;4
20;3;56;U32;;Index energie active import_5_14;;1.0;0.0;;4
21;3;58;U32;;Index energie active import_6_15;;1.0;0.0;;4
22;3;60;U32;;Index energie active import_6_16;;1.0;0.0;;4
23;3;62;U32;;Index energie active import_6_17;;1.0;0.0;;4
24;3;64;U32;;Index energie reactive import_1_0;;1.0;0.0;;4
25;3;66;U32;;Index energie reactive import_1_1;;1.0;0.0;;4
26;3;68;U32;;Index energie reactive import_1_2;;1.0;0.0;;4
27;3;70;U32;;Index energie reactive import_2_3;;1.0;0.0;;4
28;3;72;U32;;Index energie reactive import_2_4;;1.0;0.0;;4
29;3;74;U32;;Index energie reactive import_2_5;;1.0;0.0;;4
30;3;76;U32;;Index energie reactive import_3_6;;1.0;0.0;;4
