ModbusRTU;Inverter;EFACEC;PV250HE_PV375HE_PV500HE;;;;;;;
1;3;41001;F32;;DC_Current;;1;0;A;4
2;3;41003;F32;;DC_Voltage;;1;0;V;4
3;3;41005;F32;;PV_Voltage;;1;0;V;4
4;3;41007;F32;;DC_Power;;1;0;kW;4
5;3;41009;F32;;Phase_R_Current;;1;0;A;4
6;3;41011;F32;;Phase_S_Current;;1;0;A;4
7;3;41013;F32;;Phase_T_Current;;1;0;A;4
8;3;41015;F32;;R-S Voltage;;1;0;V;4
9;3;41017;F32;;S-T Voltage;;1;0;V;4
10;3;41019;F32;;T-R Voltage;;1;0;V;4
11;3;41021;F32;;Apparent Power;;1;0;kVa;4
12;3;41023;F32;;Active Power;RealPower;1;0;kW;4
13;3;41025;F32;;Reactive Power;Reactive Power;1;0;kvar;4
14;3;41027;F32;;Frequency;;1;0;Hz;4
15;3;41029;F32;;Power Factor;Power Factor;1;0;;4
16;3;41031;F32;;Efficiency;;1;0;%;4
17;3;41033;F32;;Total Energy Generated;TotalEnergy;1;0;MWh;4
18;3;41035;F32;;Inverter Temperature;;1;0;C;4
19;3;41037;F32;;Daily Energy generated;DailyEnergy;1;0;kWh;4
20;3;41051;U16;;Alarm 1;;1;0;;8
21;3;41051_0_1;BITS;;Any Alarm Active;;1;0;;4
22;3;41051_1_1;BITS;;High Panels Voltage;;1;0;;4
23;3;41051_2_1;BITS;;Low Panels Voltage;;1;0;;4
24;3;41051_3_1;BITS;;DC Current Peak;;1;0;;4
25;3;41051_4_1;BITS;;Low DC Current;;1;0;;4
26;3;41051_5_1;BITS;;Low Power;;1;0;;4
27;3;41051_6_1;BITS;;Low Pre-load Panels Voltage;;1;0;;4
28;3;41051_7_1;BITS;;High Grid Voltage;;1;0;;4
29;3;41051_8_1;BITS;;Low Grid Voltage;;1;0;;4
30;3;41051_9_1;BITS;;Grid Voltage Peak;;1;0;;4
31;3;41051_10_1;BITS;;Grid Current Peak;;1;0;;4
32;3;41051_11_1;BITS;;High Frequency;;1;0;;4
33;3;41051_12_1;BITS;;Low Frequency;;1;0;;4
34;3;41051_13_1;BITS;;Asymmetric Voltage;;1;0;;4
35;3;41051_14_1;BITS;;Asymmetric Current;;1;0;;4
36;3;41051_15_1;BITS;;Overload;;1;0;;4
37;3;41052;U16;;Alarm 2;;1;0;;8
38;3;41052_0_1;BITS;;Over Temperature Alarm;;1;0;;4
39;3;41052_1_1;BITS;;Internal Error 1;;1;0;;4
40;3;41052_2_1;BITS;;Stack Drivers;;1;0;;4
41;3;41052_3_1;BITS;;Internal Error 2;;1;0;;4
42;3;41052_4_1;BITS;;Surge Protection;;1;0;;4
43;3;41052_5_1;BITS;;Earth Leakage;;1;0;;4
44;3;41052_6_1;BITS;;Fan Failure;;1;0;;4
45;3;41052_7_1;BITS;;Input contactor error;;1;0;;4
46;3;41052_8_1;BITS;;Pre-load Contactor Error;;1;0;;4
47;3;41052_9_1;BITS;;Output contactor error;;1;0;;4
48;3;41052_10_1;BITS;;Over Temperature Error;;1;0;;4
49;3;41052_11_1;BITS;;Stack Driver R;;1;0;;4
50;3;41052_12_1;BITS;;Stack Driver S;;1;0;;4
51;3;41052_13_1;BITS;;Stack Driver T;;1;0;;4
52;3;41052_14_1;BITS;;Reserve;;1;0;;4
53;3;41052_15_1;BITS;;Low Pre-load Capacitors Voltage;;1;0;;4
54;3;41053;U16;;Alarm 3;;1;0;;8
55;3;41053_0_1;BITS;;High DC Bus Voltage;;1;0;;4
56;3;41053_1_1;BITS;;Low DC Bus Voltage;;1;0;;4
57;3;41053_2_1;BITS;;High Grid Current;;1;0;;4
58;3;41053_3_1;BITS;;Internal Error 3;;1;0;;4
59;3;41053_4_1;BITS;;Internal Error 4;;1;0;;4
60;3;41053_5_1;BITS;;Aux. Power Supply Fail;;1;0;;4
61;3;41053_6_1;BITS;;UPS Fail;;1;0;;4
62;3;41053_7_1;BITS;;DC Surge Protection;;1;0;;4
63;3;41053_8_1;BITS;;DC Fuses;;1;0;;4
64;3;41053_9_1;BITS;;Jammed;;1;0;;4
65;3;41053_10_1;BITS;;Locked;;1;0;;4
66;3;41053_11_1;BITS;;Internal Error 5;;1;0;;4
67;3;41053_12_1;BITS;;Reserve (Self Cons. comm.);;1;0;;4
68;3;41053_13_1;BITS;;Reserve (Self Cons. analog power);;1;0;;4
69;3;41053_14_1;BITS;;Reserve (Hybrid control. Comm.);;1;0;;4
70;3;41053_15_1;BITS;;Array current monitor communication;;1;0;;4
71;3;41054;U16;;Alarm 4;;1;0;;8
72;3;41054_0_1;BITS;;Energy analyzer communication;;1;0;;4
73;3;41055;U16;;Status;;1;0;;4
;3;41055_0_1;BITS;;Inverter status;;1;0;;4
;3;41055_1_1;BITS;;DC Contactor;;1;0;;4
;3;41055_2_1;BITS;;AC Contactor;;1;0;;4
;3;41055_3_1;BITS;;Grid Injection;;1;0;;4
74;3;41059;F32;;DC_Current_Array_1;;1;0;A;4
75;3;41061;F32;;DC_Current_Array_2;;1;0;A;4
76;3;41063;F32;;DC_Current_Array_3;;1;0;A;4
77;3;41065;F32;;DC_Current_Array_4;;1;0;A;4
78;3;41067;F32;;DC_Current_Array_5;;1;0;A;4
79;3;41069;F32;;DC_Current_Array_6;;1;0;A;4
80;3;41071;F32;;DC_Current_Array_7;;1;0;A;4
81;3;41073;F32;;DC_Current_Array_8;;1;0;A;4
82;3;41075;F32;;DC_Current_Array_9;;1;0;A;4
83;3;41077;F32;;DC_Current_Array_10;;1;0;A;4
84;3;41079;F32;;DC_Current_Array_11;;1;0;A;4
85;3;41081;F32;;DC_Current_Array_12;;1;0;A;4
86;3;41083;F32;;DC_Current_Array_13;;1;0;A;4
87;3;41085;F32;;DC_Current_Array_14;;1;0;A;4
88;3;41087;F32;;DC_Current_Array_15;;1;0;A;4
89;3;41089;F32;;DC_Current_Array_16;;1;0;A;4
