ModbusRTU;Inverter;EFACEC;PV550;;;;;;;
1;4;40001;F32;;Vdc;;1.0;0.0;Vrms;4
2;4;40003;F32;;Idc;;1.0;0.0;Arms;4
3;4;40005;F32;;Pdc;;1.0;0.0;KW;4
4;4;40007;F32;;Vrs;;1.0;0.0;Vrms;4
5;4;40009;F32;;Vst;;1.0;0.0;Vrms;4
6;4;40011;F32;;Vtr;;1.0;0.0;Vrms;4
7;4;40013;F32;;Ir;;1.0;0.0;Arms;4
8;4;40015;F32;;Is;;1.0;0.0;Arms;4
9;4;40017;F32;;It;;1.0;0.0;Arms;4
10;4;40019;F32;;Pac;;1.0;0.0;KW;4
11;4;40021;F32;;FP;;1.0;0.0;;4
12;4;40023;F32;;Temp;;1.0;0.0;Celsius;4
13;4;40025;F32;;Frec;;1.0;0.0;Hz;4
14;4;40035;F32;;CounterP;;1.0;0.0;kWh;4
15;4;40037;F32;;CounterQ;;1.0;0.0;kVArh;4
16;4;40039;I16;;cosPhi;;1.0;0.0;;4
17;4;40040;U16;;enclavado;;1.0;0.0;;4
18;4;40041;U32;;flagErr1;;1.0;0.0;;4
19;4;40043;U32;;flagErr2;;1.0;0.0;;4
20;4;40045;U16;;comando;;1.0;0.0;;4
21;4;40046;U16;;Summer start day;;1.0;0.0;1,31;4
22;4;40047;U16;;Summer start month;;1.0;0.0;1,12;4
23;4;40048;U16;;h_ini;;1.0;0.0;0,24 h.;4
24;4;40049;U16;;min_ini;;1.0;0.0;0,60 min.;4
25;4;40050;U16;;h_end;;1.0;0.0;0,24 h.;4
26;4;40051;U16;;min_end;;1.0;0.0;0,60 min.;4
27;4;40052;I16;;cos_phi;;100.0;0.0;[-100,100] * cos(phi);4
28;4;40053;U16;;h_ini;;1.0;0.0;0,24 h.;4
29;4;40054;U16;;min_ini;;1.0;0.0;0,60 min.;4
30;4;40055;U16;;h_end;;1.0;0.0;0,24 h.;4
31;4;40056;U16;;min_end;;1.0;0.0;0,60 min.;4
32;4;40057;I16;;cos_phi;;100.0;0.0;[-100,100] * cos(phi);4
33;4;40058;U16;;h_ini;;1.0;0.0;;4
34;4;40059;U16;;min_ini;;1.0;0.0;;4
35;4;40060;U16;;h_end;;1.0;0.0;;4
36;4;40061;U16;;min_end;;1.0;0.0;;4
37;4;40062;I16;;cos_phi;;100.0;0.0;[-100,100] * cos(phi);4
38;4;40063;U16;;Winter start day;;1.0;0.0;1,31;4
39;4;40064;U16;;Winter start month;;1.0;0.0;1,12;4
40;4;40065;U16;;h_ini;;1.0;0.0;0,24 h.;4
41;4;40066;U16;;min_ini;;1.0;0.0;0,60 min.;4
42;4;40067;U16;;h_end;;1.0;0.0;0,24 h.;4
43;4;40068;U16;;min_end;;1.0;0.0;0,60 min.;4
44;4;40069;I16;;cos_phi;;100.0;0.0;[-100,100] * cos(phi);4
45;4;40070;U16;;h_ini;;1.0;0.0;0,24 h.;4
46;4;40071;U16;;min_ini;;1.0;0.0;0,60 min.;4
47;4;40072;U16;;h_end;;1.0;0.0;0,24 h.;4
48;4;40073;U16;;min_end;;1.0;0.0;0,60 min.;4
49;4;40074;I16;;cos_phi;;100.0;0.0;[-100,100] * cos(phi);4
50;4;40075;U16;;h_ini;;1.0;0.0;;4
51;4;40076;U16;;min_ini;;1.0;0.0;;4
52;4;40077;U16;;h_end;;1.0;0.0;;4
53;4;40078;U16;;min_end;;1.0;0.0;;4
54;4;40079;U16;;cos_phi;;100.0;0.0;[-100,100] * cos(phi);4
55;4;40080;U16;;reservada(ms1);;1.0;0.0;;4
56;4;40081;U16;;estadoCtrlReact;;1.0;0.0;;4
57;4;40082;U16;;tm_sec;;1.0;0.0;s;4
58;4;40083;U16;;tm_min;;1.0;0.0;min;4
59;4;40084;U16;;tm_hour;;1.0;0.0;hour;4
60;4;40085;U16;;tm_mday;;1.0;0.0;Day;4
61;4;40086;U16;;tm_mon;;1.0;0.0;Month;4
62;4;40087;U16;;tm_year;;1.0;0.0;Year;4
63;4;40088;U16;;tm_wday;;1.0;0.0;;4
64;4;40089;U16;;estadoComDsp;;1.0;0.0;;4
65;4;40090;U16;;estadoComOp;;1.0;0.0;;4
66;4;40091;U16;;Major;;1.0;0.0;;4
67;4;40092;U16;;Minor;;1.0;0.0;;4
68;4;40093;U16;;Revision;;1.0;0.0;;4
69;4;40094;I16;;tramasDSP;;1.0;0.0;Debugger only;4
70;4;40095;I16;;tramasOP;;1.0;0.0;Debugger only;4
71;4;40101;I16;;Vdc;;10.0;0.0;Vrms;4
72;4;40102;I16;;Vr;;10.0;0.0;Vrms;4
73;4;40103;I16;;Vs;;10.0;0.0;Vrms;4
74;4;40104;I16;;Vt;;10.0;0.0;Vrms;4
75;4;40105;I16;;Vrs;;10.0;0.0;Vrms;4
76;4;40106;I16;;Vst;;10.0;0.0;Vrms;4
77;4;40107;I16;;Vtr;;10.0;0.0;Vrms;4
78;4;40108;I16;;Vp_med;;10.0;0.0;Vrms;4
79;4;40113;I16;;Idc;;10.0;0.0;Irms;4
80;4;40114;I16;;Ir;;10.0;0.0;Irms;4
81;4;40115;I16;;Is;;10.0;0.0;Irms;4
82;4;40116;I16;;It;;10.0;0.0;Irms;4
83;4;40123;I16;;Pdc;;10.0;0.0;KW;4
84;4;40124;I16;;P;;10.0;0.0;KW;4
