ModbusRTU;Meter;EMU ELECTRONIC;EMU PROFESSIONAL;1;;;;;;
1;3;5000;I32;;Serial No.;;1;;;4
2;3;5002;I32;;Factory No.;;1;;;4
3;3;5026;I64;;Current System-­time ;;1;;;4
4;3;5900;I32;;Time of Sectamp of Entry;;1;0;Sec;4
5;3;5902;I64;;Active Energy Import L123 T1;;1;0;Wh;4
6;3;5906;I64;;Active Energy Import L123 T2;;1;0;Wh;4
7;3;5910;I64;;Active Energy Export L123 T1;;1;0;Wh;4
8;3;5914;I64;;Active Energy Export L123 T2;;1;0;Wh;4
9;3;5918;I64;;Reactive Energy Import L123 T1;;1;0;varh;4
10;3;5922;I64;;Reactive Energy Import L123 T2;;1;0;varh;4
11;3;5926;I64;;Reactive Energy Export L123 T1;;1;0;varh;4
12;3;5930;I64;;Reactive Energy Export L123 T2;;1;0;varh;4
13;3;5934;F32;;Active Power L123;ActivePowSumkW;0.001;0;kW;4
14;3;5936;F32;;Active Power L1;ActivePow1kW;0.001;0;kW;4
15;3;5938;F32;;Active Power L2;ActivePow2kW;0.001;0;kW;4
16;3;5940;F32;;Active Power L3;ActivePow3kW;0.001;0;kW;4
17;3;5942;F32;;Current L123;;0.001;0;A;4
18;3;5944;F32;;Current L1;;0.001;0;A;4
19;3;5946;F32;;Current L2;;0.001;0;A;4
20;3;5948;F32;;Current L3;;0.001;0;A;4
21;3;5950;F32;;Current L4;;0.001;0;A;4
22;3;5952;F32;;Voltage L1-N;;0.1;0;V;4
23;3;5954;F32;;Voltage L2­-N;;0.1;0;V;4
24;3;5956;F32;;Voltage L3-­N;;0.1;0;V;4
25;3;5958;F32;;Power Factor L1;;0.1;0;;4
26;3;5960;F32;;Power Factor L2;;0.1;0;;4
27;3;5962;F32;;Power Factor L3;;0.1;0;;4
28;3;5964;F32;;Frequency;;1;0;Hz;4
29;3;6000;I64;;Active Energy Import L123 Total;;1;0;Wh;4
30;3;6004;I64;;Active Energy Import L123 T1_1;;1;0;Wh;4
31;3;6008;I64;;Active Energy Import L123 T2_1;;1;0;Wh;4
32;3;6012;I64;;Active Energy Import L123 T3;;1;0;Wh;4
33;3;6016;I64;;Active Energy Import L123 T4;;1;0;Wh;4
34;3;6020;I64;;Active Energy Export L123 Total;;1;0;Wh;4
35;3;6024;I64;;Active Energy Export L123 T1_1;;1;0;Wh;4
36;3;6028;I64;;Active Energy Export L123 T2_1;;1;0;Wh;4
37;3;6032;I64;;Active Energy Export L123 T3;;1;0;Wh;4
38;3;6036;I64;;Active Energy Export L123 T4;;1;0;Wh;4
39;3;6100;I64;;Active Energy Import L1 Total;;1;0;Wh;4
40;3;6104;I64;;Active Energy Import L1 T1;;1;0;Wh;4
41;3;6108;I64;;Active Energy Import L1 T2;;1;0;Wh;4
42;3;6112;I64;;Active Energy Import L1 T3;;1;0;Wh;4
43;3;6116;I64;;Active Energy Import L1 T4;;1;0;Wh;4
44;3;6120;I64;;Active Energy Export L1 Total;;1;0;Wh;4
45;3;6124;I64;;Active Energy Export L1 T1;;1;0;Wh;4
46;3;6128;I64;;Active Energy Export L1 T2;;1;0;Wh;4
47;3;6132;I64;;Active Energy Export L1 T3;;1;0;Wh;4
48;3;6136;I64;;Active Energy Export L1 T4;;1;0;Wh;4
49;3;6140;I64;;Active Energy Import L2 Total;;1;0;Wh;4
50;3;6144;I64;;Active Energy Import L2 T1;;1;0;Wh;4
51;3;6148;I64;;Active Energy Import L2 T2;;1;0;Wh;4
52;3;6152;I64;;Active Energy Import L2 T3;;1;0;Wh;4
53;3;6156;I64;;Active Energy Import L2 T4;;1;0;Wh;4
54;3;6180;I64;;Active Energy Import L3 Total;;1;0;Wh;4
55;3;6184;I64;;Active Energy Import L3 T1;;1;0;Wh;4
56;3;6188;I64;;Active Energy Import L3 T2;;1;0;Wh;4
57;3;6192;I64;;Active Energy Import L3 T3;;1;0;Wh;4
58;3;6196;I64;;Active Energy Import L3 T4;;1;0;Wh;4
59;3;6200;I64;;Active Energy Export L3 Total;;1;0;Wh;4
60;3;6204;I64;;Active Energy Export L3 T1;;1;0;Wh;4
61;3;6208;I64;;Active Energy Export L3 T2;;1;0;Wh;4
62;3;6212;I64;;Active Energy Export L3 T3;;1;0;Wh;4
63;3;6216;I64;;Active Energy Export L3 T4;;1;0;Wh;4
64;3;6300;I64;;Reactive Energy Import L123 Total;;1;0;varh;4
65;3;6304;I64;;Reactive Energy Import L123 T1_1;;1;0;varh;4
66;3;6308;I64;;Reactive Energy Import L123 T2_1;;1;0;varh;4
67;3;6312;I64;;Reactive Energy Import L123 T3;;1;0;varh;4
68;3;6316;I64;;Reactive Energy Import L123 T4;;1;0;varh;4
69;3;6320;I64;;Reactive Energy Export L123 Total;;1;0;varh;4
70;3;6324;I64;;Reactive Energy Export L123 T1_1;;1;0;varh;4
71;3;6328;I64;;Reactive Energy Export L123 T2_1;;1;0;varh;4
72;3;6332;I64;;Reactive Energy Export L123 T3;;1;0;varh;4
73;3;6336;I64;;Reactive Energy Export L123 T4;;1;0;varh;4
74;3;6400;I64;;Reactive Energy Import L1 Total;;1;0;varh;4
75;3;6404;I64;;Reactive Energy Import L1 T1;;1;0;varh;4
76;3;6408;I64;;Reactive Energy Import L1 T2;;1;0;varh;4
77;3;6412;I64;;Reactive Energy Import L1 T3;;1;0;varh;4
78;3;6416;I64;;Reactive Energy Import L1 T4;;1;0;varh;4
79;3;6420;I64;;Reactive Energy Export L1 Total;;1;0;varh;4
80;3;6424;I64;;Reactive Energy Export L1 T1;;1;0;varh;4
81;3;6428;I64;;Reactive Energy Export L1 T2;;1;0;varh;4
82;3;6432;I64;;Reactive Energy Export L1 T3;;1;0;varh;4
83;3;6436;I64;;Reactive Energy Export L1 T4;;1;0;varh;4
84;3;6440;I64;;Reactive Energy Import L2 Total;;1;0;varh;4
85;3;6444;I64;;Reactive Energy Import L2 T1;;1;0;varh;4
86;3;6448;I64;;Reactive Energy Import L2 T2;;1;0;varh;4
87;3;6452;I64;;Reactive Energy Import L2 T3;;1;0;varh;4
88;3;6456;I64;;Reactive Energy Import L2 T4;;1;0;varh;4
89;3;6460;I64;;Reactive Energy Export L2 Total;;1;0;varh;4
90;3;6464;I64;;Reactive Energy Export L2 T1;;1;0;varh;4
91;3;6468;I64;;Reactive Energy Export L2 T2;;1;0;varh;4
92;3;6472;I64;;Reactive Energy Export L2 T3;;1;0;varh;4
93;3;6476;I64;;Reactive Energy Export L2 T4;;1;0;varh;4
94;3;6480;I64;;Reactive Energy Import L3 Total;;1;0;varh;4
95;3;6484;I64;;Reactive Energy Import L3 T1;;1;0;varh;4
96;3;6488;I64;;Reactive Energy Import L3 T2;;1;0;varh;4
97;3;6492;I64;;Reactive Energy Import L3 T3;;1;0;varh;4
98;3;6496;I64;;Reactive Energy Import L3 T4;;1;0;varh;4
99;3;6500;I64;;Reactive Energy Export L3 Total;;1;0;varh;4
100;3;6504;I64;;Reactive Energy Export L3 T1;;1;0;varh;4
101;3;6508;I64;;Reactive Energy Export L3 T2;;1;0;varh;4
102;3;6512;I64;;Reactive Energy Export L3 T3;;1;0;varh;4
103;3;6516;I64;;Reactive Energy Export L3 T4;;1;0;varh;4
104;3;7000;I64;;Active Energy Import L123 Total_1;;1;0;varh;4
105;3;7004;I64;;Active Energy Import L123 T1_2;;1;0;kWh;4
106;3;7008;I64;;Active Energy Import L123 T2_2;;1;0;kWh;4
107;3;7012;I64;;Active Energy Import L123 T3_1;;1;0;kWh;4
108;3;7016;I64;;Active Energy Import L123 T4_1;;1;0;kWh;4
109;3;7020;I64;;Active Energy Export L123 Total_1;;1;0;kWh;4
110;3;7024;I64;;Active Energy Export L123 T1_2;;1;0;kWh;4
111;3;7028;I64;;Active Energy Export L123 T2_2;;1;0;kWh;4
112;3;7032;I64;;Active Energy Export L123 T3_1;;1;0;kWh;4
113;3;7036;I64;;Active Energy Export L123 T4_1;;1;0;kWh;4
114;3;7100;I64;;Active Energy Import L1 Total_1;;1;0;kWh;4
115;3;7104;I64;;Active Energy Import L1 T1_1;;1;0;kWh;4
116;3;7108;I64;;Active Energy Import L1 T2_1;;1;0;kWh;4
117;3;7112;I64;;Active Energy Import L1 T3_1;;1;0;kWh;4
118;3;7116;I64;;Active Energy Import L1 T4_1;;1;0;kWh;4
